,material,compatibility,chemical
0,,,Diphenyl Oxide
1,ABS plastic,N/A,Diphenyl Oxide
2,Acetal (Delrin®),D - Poor,Diphenyl Oxide
3,Aluminum,B1 - Good,Diphenyl Oxide
4,Brass,N/A,Diphenyl Oxide
5,Bronze,N/A,Diphenyl Oxide
6,Buna N (Nitrile),A - Excellent,Diphenyl Oxide
7,Carbon graphite,N/A,Diphenyl Oxide
8,Carbon Steel,B - Good,Diphenyl Oxide
9,Carpenter 20,A - Excellent,Diphenyl Oxide
10,Cast iron,A - Excellent,Diphenyl Oxide
11,Ceramic Al203,N/A,Diphenyl Oxide
12,Ceramic magnet,N/A,Diphenyl Oxide
13,ChemRaz (FFKM),A - Excellent,Diphenyl Oxide
14,Copper,A - Excellent,Diphenyl Oxide
15,CPVC,N/A,Diphenyl Oxide
16,EPDM,D - Poor,Diphenyl Oxide
17,Epoxy,A - Excellent,Diphenyl Oxide
18,Fluorocarbon (FKM),A - Excellent,Diphenyl Oxide
19,Hastelloy-C®,B1 - Good,Diphenyl Oxide
20,Hypalon®,D - Poor,Diphenyl Oxide
21,Hytrel®,N/A,Diphenyl Oxide
22,Kalrez,A - Excellent,Diphenyl Oxide
23,Kel-F®,N/A,Diphenyl Oxide
24,LDPE,N/A,Diphenyl Oxide
25,Natural rubber,D - Poor,Diphenyl Oxide
26,Neoprene,D - Poor,Diphenyl Oxide
27,NORYL®,N/A,Diphenyl Oxide
28,Nylon,N/A,Diphenyl Oxide
29,Polycarbonate,N/A,Diphenyl Oxide
30,Polyetherether Ketone (PEEK),N/A,Diphenyl Oxide
31,Polypropylene,D - Poor,Diphenyl Oxide
32,Polyurethane,D - Poor,Diphenyl Oxide
33,PPS (Ryton®),A - Excellent,Diphenyl Oxide
34,PTFE,A1 - Excellent,Diphenyl Oxide
35,PVC,D - Poor,Diphenyl Oxide
36,PVDF (Kynar®),B2 - Good,Diphenyl Oxide
37,Silicone,C - Fair,Diphenyl Oxide
38,stainless steel - 304,B1 - Good,Diphenyl Oxide
39,stainless steel - 316,A - Excellent,Diphenyl Oxide
40,Titanium,A1 - Excellent,Diphenyl Oxide
41,Tygon®,D - Poor,Diphenyl Oxide
42,Viton®,A - Excellent,Diphenyl Oxide
