,material,compatibility,chemical
0,,,Diphenyl
1,ABS plastic,N/A,Diphenyl
2,Acetal (Delrin®),N/A,Diphenyl
3,Aluminum,B2 - Good,Diphenyl
4,Brass,B - Good,Diphenyl
5,Bronze,B - Good,Diphenyl
6,Buna N (Nitrile),D - Poor,Diphenyl
7,Carbon graphite,N/A,Diphenyl
8,Carbon Steel,B - Good,Diphenyl
9,Carpenter 20,N/A,Diphenyl
10,Cast iron,N/A,Diphenyl
11,Ceramic Al203,N/A,Diphenyl
12,Ceramic magnet,N/A,Diphenyl
13,ChemRaz (FFKM),A - Excellent,Diphenyl
14,Copper,B - Good,Diphenyl
15,CPVC,N/A,Diphenyl
16,EPDM,D - Poor,Diphenyl
17,Epoxy,N/A,Diphenyl
18,Fluorocarbon (FKM),A - Excellent,Diphenyl
19,Hastelloy-C®,B - Good,Diphenyl
20,Hypalon®,B - Good,Diphenyl
21,Hytrel®,N/A,Diphenyl
22,Kalrez,A - Excellent,Diphenyl
23,Kel-F®,B - Good,Diphenyl
24,LDPE,N/A,Diphenyl
25,Natural rubber,D - Poor,Diphenyl
26,Neoprene,B - Good,Diphenyl
27,NORYL®,N/A,Diphenyl
28,Nylon,N/A,Diphenyl
29,Polycarbonate,N/A,Diphenyl
30,Polyetherether Ketone (PEEK),N/A,Diphenyl
31,Polypropylene,D - Poor,Diphenyl
32,Polyurethane,D - Poor,Diphenyl
33,PPS (Ryton®),N/A,Diphenyl
34,PTFE,A - Excellent,Diphenyl
35,PVC,N/A,Diphenyl
36,PVDF (Kynar®),N/A,Diphenyl
37,Silicone,D - Poor,Diphenyl
38,stainless steel - 304,B - Good,Diphenyl
39,stainless steel - 316,B - Good,Diphenyl
40,Titanium,B - Good,Diphenyl
41,Tygon®,N/A,Diphenyl
42,Viton®,A2 - Excellent,Diphenyl
