,material,compatibility,chemical
0,,,Dyes
1,ABS plastic,N/A,Dyes
2,Acetal (Delrin®),C - Fair,Dyes
3,Aluminum,B - Good,Dyes
4,Brass,A - Excellent,Dyes
5,Bronze,N/A,Dyes
6,Buna N (Nitrile),N/A,Dyes
7,Carbon graphite,N/A,Dyes
8,Carbon Steel,N/A,Dyes
9,Carpenter 20,C - Fair,Dyes
10,Cast iron,N/A,Dyes
11,Ceramic Al203,N/A,Dyes
12,Ceramic magnet,N/A,Dyes
13,ChemRaz (FFKM),N/A,Dyes
14,Copper,A - Excellent,Dyes
15,CPVC,N/A,Dyes
16,EPDM,N/A,Dyes
17,Epoxy,A - Excellent,Dyes
18,Fluorocarbon (FKM),N/A,Dyes
19,Hastelloy-C®,N/A,Dyes
20,Hypalon®,N/A,Dyes
21,Hytrel®,N/A,Dyes
22,Kalrez,N/A,Dyes
23,Kel-F®,N/A,Dyes
24,LDPE,N/A,Dyes
25,Natural rubber,N/A,Dyes
26,Neoprene,C - Fair,Dyes
27,NORYL®,A - Excellent,Dyes
28,Nylon,A - Excellent,Dyes
29,Polycarbonate,N/A,Dyes
30,Polyetherether Ketone (PEEK),N/A,Dyes
31,Polypropylene,N/A,Dyes
32,Polyurethane,D - Poor,Dyes
33,PPS (Ryton®),N/A,Dyes
34,PTFE,N/A,Dyes
35,PVC,B - Good,Dyes
36,PVDF (Kynar®),N/A,Dyes
37,Silicone,N/A,Dyes
38,stainless steel - 304,A - Excellent,Dyes
39,stainless steel - 316,A - Excellent,Dyes
40,Titanium,N/A,Dyes
41,Tygon®,C - Fair,Dyes
42,Viton®,A - Excellent,Dyes
