,material,compatibility,chemical
0,,,Epsom Salts (Magnesium Sulfate)
1,ABS plastic,B2 - Good,Epsom Salts (Magnesium Sulfate)
2,Acetal (Delrin®),B - Good,Epsom Salts (Magnesium Sulfate)
3,Aluminum,B1 - Good,Epsom Salts (Magnesium Sulfate)
4,Brass,A - Excellent,Epsom Salts (Magnesium Sulfate)
5,Bronze,A - Excellent,Epsom Salts (Magnesium Sulfate)
6,Buna N (Nitrile),A - Excellent,Epsom Salts (Magnesium Sulfate)
7,Carbon graphite,A - Excellent,Epsom Salts (Magnesium Sulfate)
8,Carbon Steel,B - Good,Epsom Salts (Magnesium Sulfate)
9,Carpenter 20,C - Fair,Epsom Salts (Magnesium Sulfate)
10,Cast iron,A - Excellent,Epsom Salts (Magnesium Sulfate)
11,Ceramic Al203,N/A,Epsom Salts (Magnesium Sulfate)
12,Ceramic magnet,N/A,Epsom Salts (Magnesium Sulfate)
13,ChemRaz (FFKM),N/A,Epsom Salts (Magnesium Sulfate)
14,Copper,A - Excellent,Epsom Salts (Magnesium Sulfate)
15,CPVC,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
16,EPDM,A - Excellent,Epsom Salts (Magnesium Sulfate)
17,Epoxy,A - Excellent,Epsom Salts (Magnesium Sulfate)
18,Fluorocarbon (FKM),A - Excellent,Epsom Salts (Magnesium Sulfate)
19,Hastelloy-C®,B - Good,Epsom Salts (Magnesium Sulfate)
20,Hypalon®,A - Excellent,Epsom Salts (Magnesium Sulfate)
21,Hytrel®,N/A,Epsom Salts (Magnesium Sulfate)
22,Kalrez,A - Excellent,Epsom Salts (Magnesium Sulfate)
23,Kel-F®,A - Excellent,Epsom Salts (Magnesium Sulfate)
24,LDPE,A2 - Excellent,Epsom Salts (Magnesium Sulfate)
25,Natural rubber,B - Good,Epsom Salts (Magnesium Sulfate)
26,Neoprene,A - Excellent,Epsom Salts (Magnesium Sulfate)
27,NORYL®,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
28,Nylon,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
29,Polycarbonate,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
30,Polyetherether Ketone (PEEK),A - Excellent,Epsom Salts (Magnesium Sulfate)
31,Polypropylene,A - Excellent,Epsom Salts (Magnesium Sulfate)
32,Polyurethane,D - Poor,Epsom Salts (Magnesium Sulfate)
33,PPS (Ryton®),A - Excellent,Epsom Salts (Magnesium Sulfate)
34,PTFE,A - Excellent,Epsom Salts (Magnesium Sulfate)
35,PVC,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
36,PVDF (Kynar®),A - Excellent,Epsom Salts (Magnesium Sulfate)
37,Silicone,A - Excellent,Epsom Salts (Magnesium Sulfate)
38,stainless steel - 304,A - Excellent,Epsom Salts (Magnesium Sulfate)
39,stainless steel - 316,B - Good,Epsom Salts (Magnesium Sulfate)
40,Titanium,A1 - Excellent,Epsom Salts (Magnesium Sulfate)
41,Tygon®,B - Good,Epsom Salts (Magnesium Sulfate)
42,Viton®,A - Excellent,Epsom Salts (Magnesium Sulfate)
