,material,compatibility,chemical
0,,,Ethane
1,ABS plastic,N/A,Ethane
2,Acetal (Delrin®),A1 - Excellent,Ethane
3,Aluminum,N/A,Ethane
4,Brass,N/A,Ethane
5,Bronze,N/A,Ethane
6,Buna N (Nitrile),A - Excellent,Ethane
7,Carbon graphite,A - Excellent,Ethane
8,Carbon Steel,N/A,Ethane
9,Carpenter 20,A - Excellent,Ethane
10,Cast iron,N/A,Ethane
11,Ceramic Al203,N/A,Ethane
12,Ceramic magnet,N/A,Ethane
13,ChemRaz (FFKM),A - Excellent,Ethane
14,Copper,A - Excellent,Ethane
15,CPVC,A1 - Excellent,Ethane
16,EPDM,D - Poor,Ethane
17,Epoxy,A1 - Excellent,Ethane
18,Fluorocarbon (FKM),A - Excellent,Ethane
19,Hastelloy-C®,N/A,Ethane
20,Hypalon®,B - Good,Ethane
21,Hytrel®,N/A,Ethane
22,Kalrez,A - Excellent,Ethane
23,Kel-F®,N/A,Ethane
24,LDPE,N/A,Ethane
25,Natural rubber,D - Poor,Ethane
26,Neoprene,B - Good,Ethane
27,NORYL®,N/A,Ethane
28,Nylon,D - Poor,Ethane
29,Polycarbonate,N/A,Ethane
30,Polyetherether Ketone (PEEK),B - Good,Ethane
31,Polypropylene,D - Poor,Ethane
32,Polyurethane,C - Fair,Ethane
33,PPS (Ryton®),N/A,Ethane
34,PTFE,A - Excellent,Ethane
35,PVC,A1 - Excellent,Ethane
36,PVDF (Kynar®),A - Excellent,Ethane
37,Silicone,D - Poor,Ethane
38,stainless steel - 304,A - Excellent,Ethane
39,stainless steel - 316,A1 - Excellent,Ethane
40,Titanium,N/A,Ethane
41,Tygon®,A - Excellent,Ethane
42,Viton®,A - Excellent,Ethane
