,material,compatibility,chemical
0,,,Ethanolamine
1,ABS plastic,N/A,Ethanolamine
2,Acetal (Delrin®),D - Poor,Ethanolamine
3,Aluminum,B - Good,Ethanolamine
4,Brass,N/A,Ethanolamine
5,Bronze,B - Good,Ethanolamine
6,Buna N (Nitrile),B - Good,Ethanolamine
7,Carbon graphite,A - Excellent,Ethanolamine
8,Carbon Steel,B - Good,Ethanolamine
9,Carpenter 20,A - Excellent,Ethanolamine
10,Cast iron,N/A,Ethanolamine
11,Ceramic Al203,A - Excellent,Ethanolamine
12,Ceramic magnet,N/A,Ethanolamine
13,ChemRaz (FFKM),A - Excellent,Ethanolamine
14,Copper,D - Poor,Ethanolamine
15,CPVC,N/A,Ethanolamine
16,EPDM,B - Good,Ethanolamine
17,Epoxy,A1 - Excellent,Ethanolamine
18,Fluorocarbon (FKM),D - Poor,Ethanolamine
19,Hastelloy-C®,B - Good,Ethanolamine
20,Hypalon®,C - Fair,Ethanolamine
21,Hytrel®,N/A,Ethanolamine
22,Kalrez,A - Excellent,Ethanolamine
23,Kel-F®,D - Poor,Ethanolamine
24,LDPE,N/A,Ethanolamine
25,Natural rubber,B - Good,Ethanolamine
26,Neoprene,B - Good,Ethanolamine
27,NORYL®,A - Excellent,Ethanolamine
28,Nylon,A - Excellent,Ethanolamine
29,Polycarbonate,N/A,Ethanolamine
30,Polyetherether Ketone (PEEK),N/A,Ethanolamine
31,Polypropylene,D - Poor,Ethanolamine
32,Polyurethane,C - Fair,Ethanolamine
33,PPS (Ryton®),A - Excellent,Ethanolamine
34,PTFE,A1 - Excellent,Ethanolamine
35,PVC,D - Poor,Ethanolamine
36,PVDF (Kynar®),C1 - Fair,Ethanolamine
37,Silicone,B - Good,Ethanolamine
38,stainless steel - 304,A - Excellent,Ethanolamine
39,stainless steel - 316,A - Excellent,Ethanolamine
40,Titanium,B - Good,Ethanolamine
41,Tygon®,N/A,Ethanolamine
42,Viton®,D - Poor,Ethanolamine
