,material,compatibility,chemical
0,,,Ethyl Benzoate
1,ABS plastic,D - Poor,Ethyl Benzoate
2,Acetal (Delrin®),N/A,Ethyl Benzoate
3,Aluminum,N/A,Ethyl Benzoate
4,Brass,N/A,Ethyl Benzoate
5,Bronze,N/A,Ethyl Benzoate
6,Buna N (Nitrile),D - Poor,Ethyl Benzoate
7,Carbon graphite,N/A,Ethyl Benzoate
8,Carbon Steel,N/A,Ethyl Benzoate
9,Carpenter 20,N/A,Ethyl Benzoate
10,Cast iron,N/A,Ethyl Benzoate
11,Ceramic Al203,N/A,Ethyl Benzoate
12,Ceramic magnet,N/A,Ethyl Benzoate
13,ChemRaz (FFKM),A - Excellent,Ethyl Benzoate
14,Copper,A - Excellent,Ethyl Benzoate
15,CPVC,D - Poor,Ethyl Benzoate
16,EPDM,N/A,Ethyl Benzoate
17,Epoxy,N/A,Ethyl Benzoate
18,Fluorocarbon (FKM),A - Excellent,Ethyl Benzoate
19,Hastelloy-C®,N/A,Ethyl Benzoate
20,Hypalon®,N/A,Ethyl Benzoate
21,Hytrel®,N/A,Ethyl Benzoate
22,Kalrez,A - Excellent,Ethyl Benzoate
23,Kel-F®,N/A,Ethyl Benzoate
24,LDPE,C2 - Fair,Ethyl Benzoate
25,Natural rubber,D - Poor,Ethyl Benzoate
26,Neoprene,D - Poor,Ethyl Benzoate
27,NORYL®,A2 - Excellent,Ethyl Benzoate
28,Nylon,N/A,Ethyl Benzoate
29,Polycarbonate,D - Poor,Ethyl Benzoate
30,Polyetherether Ketone (PEEK),N/A,Ethyl Benzoate
31,Polypropylene,B1 - Good,Ethyl Benzoate
32,Polyurethane,D - Poor,Ethyl Benzoate
33,PPS (Ryton®),N/A,Ethyl Benzoate
34,PTFE,A - Excellent,Ethyl Benzoate
35,PVC,D - Poor,Ethyl Benzoate
36,PVDF (Kynar®),D - Poor,Ethyl Benzoate
37,Silicone,D - Poor,Ethyl Benzoate
38,stainless steel - 304,N/A,Ethyl Benzoate
39,stainless steel - 316,N/A,Ethyl Benzoate
40,Titanium,N/A,Ethyl Benzoate
41,Tygon®,D - Poor,Ethyl Benzoate
42,Viton®,A1 - Excellent,Ethyl Benzoate
