,material,compatibility,chemical
0,,,Ethyl Chloride
1,ABS plastic,D - Poor,Ethyl Chloride
2,Acetal (Delrin®),A1 - Excellent,Ethyl Chloride
3,Aluminum,B - Good,Ethyl Chloride
4,Brass,A - Excellent,Ethyl Chloride
5,Bronze,A - Excellent,Ethyl Chloride
6,Buna N (Nitrile),A - Excellent,Ethyl Chloride
7,Carbon graphite,A - Excellent,Ethyl Chloride
8,Carbon Steel,D - Poor,Ethyl Chloride
9,Carpenter 20,A - Excellent,Ethyl Chloride
10,Cast iron,C - Fair,Ethyl Chloride
11,Ceramic Al203,A - Excellent,Ethyl Chloride
12,Ceramic magnet,N/A,Ethyl Chloride
13,ChemRaz (FFKM),A - Excellent,Ethyl Chloride
14,Copper,B - Good,Ethyl Chloride
15,CPVC,D - Poor,Ethyl Chloride
16,EPDM,A - Excellent,Ethyl Chloride
17,Epoxy,D - Poor,Ethyl Chloride
18,Fluorocarbon (FKM),A - Excellent,Ethyl Chloride
19,Hastelloy-C®,B1 - Good,Ethyl Chloride
20,Hypalon®,D - Poor,Ethyl Chloride
21,Hytrel®,C - Fair,Ethyl Chloride
22,Kalrez,A - Excellent,Ethyl Chloride
23,Kel-F®,B - Good,Ethyl Chloride
24,LDPE,C1 - Fair,Ethyl Chloride
25,Natural rubber,B - Good,Ethyl Chloride
26,Neoprene,C - Fair,Ethyl Chloride
27,NORYL®,D - Poor,Ethyl Chloride
28,Nylon,A1 - Excellent,Ethyl Chloride
29,Polycarbonate,D - Poor,Ethyl Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Ethyl Chloride
31,Polypropylene,D - Poor,Ethyl Chloride
32,Polyurethane,C - Fair,Ethyl Chloride
33,PPS (Ryton®),A - Excellent,Ethyl Chloride
34,PTFE,A - Excellent,Ethyl Chloride
35,PVC,D - Poor,Ethyl Chloride
36,PVDF (Kynar®),A - Excellent,Ethyl Chloride
37,Silicone,D - Poor,Ethyl Chloride
38,stainless steel - 304,A - Excellent,Ethyl Chloride
39,stainless steel - 316,A - Excellent,Ethyl Chloride
40,Titanium,A - Excellent,Ethyl Chloride
41,Tygon®,D - Poor,Ethyl Chloride
42,Viton®,A - Excellent,Ethyl Chloride
