,material,compatibility,chemical
0,,,Ethyl Ether
1,ABS plastic,D - Poor,Ethyl Ether
2,Acetal (Delrin®),A1 - Excellent,Ethyl Ether
3,Aluminum,B - Good,Ethyl Ether
4,Brass,A - Excellent,Ethyl Ether
5,Bronze,A - Excellent,Ethyl Ether
6,Buna N (Nitrile),A - Excellent,Ethyl Ether
7,Carbon graphite,A - Excellent,Ethyl Ether
8,Carbon Steel,D - Poor,Ethyl Ether
9,Carpenter 20,A - Excellent,Ethyl Ether
10,Cast iron,C - Fair,Ethyl Ether
11,Ceramic Al203,A - Excellent,Ethyl Ether
12,Ceramic magnet,N/A,Ethyl Ether
13,ChemRaz (FFKM),A - Excellent,Ethyl Ether
14,Copper,B - Good,Ethyl Ether
15,CPVC,D - Poor,Ethyl Ether
16,EPDM,A - Excellent,Ethyl Ether
17,Epoxy,D - Poor,Ethyl Ether
18,Fluorocarbon (FKM),A - Excellent,Ethyl Ether
19,Hastelloy-C®,B1 - Good,Ethyl Ether
20,Hypalon®,D - Poor,Ethyl Ether
21,Hytrel®,C - Fair,Ethyl Ether
22,Kalrez,A - Excellent,Ethyl Ether
23,Kel-F®,B - Good,Ethyl Ether
24,LDPE,C1 - Fair,Ethyl Ether
25,Natural rubber,B - Good,Ethyl Ether
26,Neoprene,C - Fair,Ethyl Ether
27,NORYL®,D - Poor,Ethyl Ether
28,Nylon,A1 - Excellent,Ethyl Ether
29,Polycarbonate,D - Poor,Ethyl Ether
30,Polyetherether Ketone (PEEK),A - Excellent,Ethyl Ether
31,Polypropylene,D - Poor,Ethyl Ether
32,Polyurethane,C - Fair,Ethyl Ether
33,PPS (Ryton®),A - Excellent,Ethyl Ether
34,PTFE,A - Excellent,Ethyl Ether
35,PVC,D - Poor,Ethyl Ether
36,PVDF (Kynar®),A - Excellent,Ethyl Ether
37,Silicone,D - Poor,Ethyl Ether
38,stainless steel - 304,A - Excellent,Ethyl Ether
39,stainless steel - 316,A - Excellent,Ethyl Ether
40,Titanium,A - Excellent,Ethyl Ether
41,Tygon®,D - Poor,Ethyl Ether
42,Viton®,A - Excellent,Ethyl Ether
