,material,compatibility,chemical
0,,,Ethyl Sulfate
1,ABS plastic,N/A,Ethyl Sulfate
2,Acetal (Delrin®),N/A,Ethyl Sulfate
3,Aluminum,N/A,Ethyl Sulfate
4,Brass,N/A,Ethyl Sulfate
5,Bronze,D - Poor,Ethyl Sulfate
6,Buna N (Nitrile),A - Excellent,Ethyl Sulfate
7,Carbon graphite,A - Excellent,Ethyl Sulfate
8,Carbon Steel,N/A,Ethyl Sulfate
9,Carpenter 20,A - Excellent,Ethyl Sulfate
10,Cast iron,N/A,Ethyl Sulfate
11,Ceramic Al203,N/A,Ethyl Sulfate
12,Ceramic magnet,N/A,Ethyl Sulfate
13,ChemRaz (FFKM),A - Excellent,Ethyl Sulfate
14,Copper,B - Good,Ethyl Sulfate
15,CPVC,N/A,Ethyl Sulfate
16,EPDM,N/A,Ethyl Sulfate
17,Epoxy,A1 - Excellent,Ethyl Sulfate
18,Fluorocarbon (FKM),D - Poor,Ethyl Sulfate
19,Hastelloy-C®,N/A,Ethyl Sulfate
20,Hypalon®,N/A,Ethyl Sulfate
21,Hytrel®,N/A,Ethyl Sulfate
22,Kalrez,N/A,Ethyl Sulfate
23,Kel-F®,A - Excellent,Ethyl Sulfate
24,LDPE,N/A,Ethyl Sulfate
25,Natural rubber,N/A,Ethyl Sulfate
26,Neoprene,N/A,Ethyl Sulfate
27,NORYL®,N/A,Ethyl Sulfate
28,Nylon,N/A,Ethyl Sulfate
29,Polycarbonate,N/A,Ethyl Sulfate
30,Polyetherether Ketone (PEEK),N/A,Ethyl Sulfate
31,Polypropylene,N/A,Ethyl Sulfate
32,Polyurethane,D - Poor,Ethyl Sulfate
33,PPS (Ryton®),N/A,Ethyl Sulfate
34,PTFE,A - Excellent,Ethyl Sulfate
35,PVC,N/A,Ethyl Sulfate
36,PVDF (Kynar®),N/A,Ethyl Sulfate
37,Silicone,N/A,Ethyl Sulfate
38,stainless steel - 304,D - Poor,Ethyl Sulfate
39,stainless steel - 316,D - Poor,Ethyl Sulfate
40,Titanium,N/A,Ethyl Sulfate
41,Tygon®,N/A,Ethyl Sulfate
42,Viton®,A - Excellent,Ethyl Sulfate
