,material,compatibility,chemical
0,,,Ethylene Bromide
1,ABS plastic,D - Poor,Ethylene Bromide
2,Acetal (Delrin®),N/A,Ethylene Bromide
3,Aluminum,B - Good,Ethylene Bromide
4,Brass,N/A,Ethylene Bromide
5,Bronze,B - Good,Ethylene Bromide
6,Buna N (Nitrile),D - Poor,Ethylene Bromide
7,Carbon graphite,A - Excellent,Ethylene Bromide
8,Carbon Steel,B - Good,Ethylene Bromide
9,Carpenter 20,N/A,Ethylene Bromide
10,Cast iron,N/A,Ethylene Bromide
11,Ceramic Al203,N/A,Ethylene Bromide
12,Ceramic magnet,N/A,Ethylene Bromide
13,ChemRaz (FFKM),A - Excellent,Ethylene Bromide
14,Copper,N/A,Ethylene Bromide
15,CPVC,D - Poor,Ethylene Bromide
16,EPDM,C - Fair,Ethylene Bromide
17,Epoxy,N/A,Ethylene Bromide
18,Fluorocarbon (FKM),B - Good,Ethylene Bromide
19,Hastelloy-C®,B - Good,Ethylene Bromide
20,Hypalon®,C - Fair,Ethylene Bromide
21,Hytrel®,N/A,Ethylene Bromide
22,Kalrez,A - Excellent,Ethylene Bromide
23,Kel-F®,B - Good,Ethylene Bromide
24,LDPE,D - Poor,Ethylene Bromide
25,Natural rubber,C - Fair,Ethylene Bromide
26,Neoprene,C - Fair,Ethylene Bromide
27,NORYL®,N/A,Ethylene Bromide
28,Nylon,N/A,Ethylene Bromide
29,Polycarbonate,D - Poor,Ethylene Bromide
30,Polyetherether Ketone (PEEK),N/A,Ethylene Bromide
31,Polypropylene,D - Poor,Ethylene Bromide
32,Polyurethane,D - Poor,Ethylene Bromide
33,PPS (Ryton®),N/A,Ethylene Bromide
34,PTFE,A - Excellent,Ethylene Bromide
35,PVC,D - Poor,Ethylene Bromide
36,PVDF (Kynar®),A - Excellent,Ethylene Bromide
37,Silicone,D - Poor,Ethylene Bromide
38,stainless steel - 304,A - Excellent,Ethylene Bromide
39,stainless steel - 316,A - Excellent,Ethylene Bromide
40,Titanium,B - Good,Ethylene Bromide
41,Tygon®,D - Poor,Ethylene Bromide
42,Viton®,A - Excellent,Ethylene Bromide
