,material,compatibility,chemical
0,,,Ethylene Chloride
1,ABS plastic,D - Poor,Ethylene Chloride
2,Acetal (Delrin®),A1 - Excellent,Ethylene Chloride
3,Aluminum,B - Good,Ethylene Chloride
4,Brass,N/A,Ethylene Chloride
5,Bronze,A - Excellent,Ethylene Chloride
6,Buna N (Nitrile),D - Poor,Ethylene Chloride
7,Carbon graphite,A - Excellent,Ethylene Chloride
8,Carbon Steel,D - Poor,Ethylene Chloride
9,Carpenter 20,N/A,Ethylene Chloride
10,Cast iron,N/A,Ethylene Chloride
11,Ceramic Al203,N/A,Ethylene Chloride
12,Ceramic magnet,A - Excellent,Ethylene Chloride
13,ChemRaz (FFKM),A - Excellent,Ethylene Chloride
14,Copper,B - Good,Ethylene Chloride
15,CPVC,D - Poor,Ethylene Chloride
16,EPDM,D - Poor,Ethylene Chloride
17,Epoxy,D - Poor,Ethylene Chloride
18,Fluorocarbon (FKM),B - Good,Ethylene Chloride
19,Hastelloy-C®,N/A,Ethylene Chloride
20,Hypalon®,D - Poor,Ethylene Chloride
21,Hytrel®,N/A,Ethylene Chloride
22,Kalrez,A - Excellent,Ethylene Chloride
23,Kel-F®,A1 - Excellent,Ethylene Chloride
24,LDPE,D - Poor,Ethylene Chloride
25,Natural rubber,D - Poor,Ethylene Chloride
26,Neoprene,D - Poor,Ethylene Chloride
27,NORYL®,D - Poor,Ethylene Chloride
28,Nylon,A - Excellent,Ethylene Chloride
29,Polycarbonate,D - Poor,Ethylene Chloride
30,Polyetherether Ketone (PEEK),A - Excellent,Ethylene Chloride
31,Polypropylene,C1 - Fair,Ethylene Chloride
32,Polyurethane,D - Poor,Ethylene Chloride
33,PPS (Ryton®),A - Excellent,Ethylene Chloride
34,PTFE,A - Excellent,Ethylene Chloride
35,PVC,D - Poor,Ethylene Chloride
36,PVDF (Kynar®),A - Excellent,Ethylene Chloride
37,Silicone,D - Poor,Ethylene Chloride
38,stainless steel - 304,B - Good,Ethylene Chloride
39,stainless steel - 316,B - Good,Ethylene Chloride
40,Titanium,B1 - Good,Ethylene Chloride
41,Tygon®,N/A,Ethylene Chloride
42,Viton®,B - Good,Ethylene Chloride
