,material,compatibility,chemical
0,,,Ethylene Chlorohydrin
1,ABS plastic,D - Poor,Ethylene Chlorohydrin
2,Acetal (Delrin®),A1 - Excellent,Ethylene Chlorohydrin
3,Aluminum,B - Good,Ethylene Chlorohydrin
4,Brass,N/A,Ethylene Chlorohydrin
5,Bronze,A - Excellent,Ethylene Chlorohydrin
6,Buna N (Nitrile),D - Poor,Ethylene Chlorohydrin
7,Carbon graphite,A - Excellent,Ethylene Chlorohydrin
8,Carbon Steel,D - Poor,Ethylene Chlorohydrin
9,Carpenter 20,N/A,Ethylene Chlorohydrin
10,Cast iron,N/A,Ethylene Chlorohydrin
11,Ceramic Al203,N/A,Ethylene Chlorohydrin
12,Ceramic magnet,A - Excellent,Ethylene Chlorohydrin
13,ChemRaz (FFKM),A - Excellent,Ethylene Chlorohydrin
14,Copper,B - Good,Ethylene Chlorohydrin
15,CPVC,D - Poor,Ethylene Chlorohydrin
16,EPDM,D - Poor,Ethylene Chlorohydrin
17,Epoxy,D - Poor,Ethylene Chlorohydrin
18,Fluorocarbon (FKM),B - Good,Ethylene Chlorohydrin
19,Hastelloy-C®,N/A,Ethylene Chlorohydrin
20,Hypalon®,D - Poor,Ethylene Chlorohydrin
21,Hytrel®,N/A,Ethylene Chlorohydrin
22,Kalrez,A - Excellent,Ethylene Chlorohydrin
23,Kel-F®,A1 - Excellent,Ethylene Chlorohydrin
24,LDPE,D - Poor,Ethylene Chlorohydrin
25,Natural rubber,D - Poor,Ethylene Chlorohydrin
26,Neoprene,D - Poor,Ethylene Chlorohydrin
27,NORYL®,D - Poor,Ethylene Chlorohydrin
28,Nylon,A - Excellent,Ethylene Chlorohydrin
29,Polycarbonate,D - Poor,Ethylene Chlorohydrin
30,Polyetherether Ketone (PEEK),A - Excellent,Ethylene Chlorohydrin
31,Polypropylene,C1 - Fair,Ethylene Chlorohydrin
32,Polyurethane,D - Poor,Ethylene Chlorohydrin
33,PPS (Ryton®),A - Excellent,Ethylene Chlorohydrin
34,PTFE,A - Excellent,Ethylene Chlorohydrin
35,PVC,D - Poor,Ethylene Chlorohydrin
36,PVDF (Kynar®),A - Excellent,Ethylene Chlorohydrin
37,Silicone,D - Poor,Ethylene Chlorohydrin
38,stainless steel - 304,B - Good,Ethylene Chlorohydrin
39,stainless steel - 316,B - Good,Ethylene Chlorohydrin
40,Titanium,B1 - Good,Ethylene Chlorohydrin
41,Tygon®,N/A,Ethylene Chlorohydrin
42,Viton®,B - Good,Ethylene Chlorohydrin
