,material,compatibility,chemical
0,,,Ethylene Dichloride
1,ABS plastic,D - Poor,Ethylene Dichloride
2,Acetal (Delrin®),B1 - Good,Ethylene Dichloride
3,Aluminum,A1 - Excellent,Ethylene Dichloride
4,Brass,B - Good,Ethylene Dichloride
5,Bronze,C - Fair,Ethylene Dichloride
6,Buna N (Nitrile),D - Poor,Ethylene Dichloride
7,Carbon graphite,A - Excellent,Ethylene Dichloride
8,Carbon Steel,A - Excellent,Ethylene Dichloride
9,Carpenter 20,C - Fair,Ethylene Dichloride
10,Cast iron,A - Excellent,Ethylene Dichloride
11,Ceramic Al203,A - Excellent,Ethylene Dichloride
12,Ceramic magnet,N/A,Ethylene Dichloride
13,ChemRaz (FFKM),A - Excellent,Ethylene Dichloride
14,Copper,N/A,Ethylene Dichloride
15,CPVC,D - Poor,Ethylene Dichloride
16,EPDM,C - Fair,Ethylene Dichloride
17,Epoxy,D - Poor,Ethylene Dichloride
18,Fluorocarbon (FKM),B - Good,Ethylene Dichloride
19,Hastelloy-C®,B - Good,Ethylene Dichloride
20,Hypalon®,D - Poor,Ethylene Dichloride
21,Hytrel®,C - Fair,Ethylene Dichloride
22,Kalrez,A - Excellent,Ethylene Dichloride
23,Kel-F®,A1 - Excellent,Ethylene Dichloride
24,LDPE,D - Poor,Ethylene Dichloride
25,Natural rubber,D - Poor,Ethylene Dichloride
26,Neoprene,D - Poor,Ethylene Dichloride
27,NORYL®,D - Poor,Ethylene Dichloride
28,Nylon,A1 - Excellent,Ethylene Dichloride
29,Polycarbonate,D - Poor,Ethylene Dichloride
30,Polyetherether Ketone (PEEK),A - Excellent,Ethylene Dichloride
31,Polypropylene,D - Poor,Ethylene Dichloride
32,Polyurethane,D - Poor,Ethylene Dichloride
33,PPS (Ryton®),A - Excellent,Ethylene Dichloride
34,PTFE,A - Excellent,Ethylene Dichloride
35,PVC,D - Poor,Ethylene Dichloride
36,PVDF (Kynar®),A - Excellent,Ethylene Dichloride
37,Silicone,D - Poor,Ethylene Dichloride
38,stainless steel - 304,B - Good,Ethylene Dichloride
39,stainless steel - 316,B - Good,Ethylene Dichloride
40,Titanium,B - Good,Ethylene Dichloride
41,Tygon®,D - Poor,Ethylene Dichloride
42,Viton®,A - Excellent,Ethylene Dichloride
