,material,compatibility,chemical
0,,,Ethylene Glycol
1,ABS plastic,A - Excellent,Ethylene Glycol
2,Acetal (Delrin®),B - Good,Ethylene Glycol
3,Aluminum,A - Excellent,Ethylene Glycol
4,Brass,B1 - Good,Ethylene Glycol
5,Bronze,A - Excellent,Ethylene Glycol
6,Buna N (Nitrile),A - Excellent,Ethylene Glycol
7,Carbon graphite,A - Excellent,Ethylene Glycol
8,Carbon Steel,B - Good,Ethylene Glycol
9,Carpenter 20,A - Excellent,Ethylene Glycol
10,Cast iron,A - Excellent,Ethylene Glycol
11,Ceramic Al203,A - Excellent,Ethylene Glycol
12,Ceramic magnet,A - Excellent,Ethylene Glycol
13,ChemRaz (FFKM),A - Excellent,Ethylene Glycol
14,Copper,A - Excellent,Ethylene Glycol
15,CPVC,A - Excellent,Ethylene Glycol
16,EPDM,A - Excellent,Ethylene Glycol
17,Epoxy,A - Excellent,Ethylene Glycol
18,Fluorocarbon (FKM),A - Excellent,Ethylene Glycol
19,Hastelloy-C®,B1 - Good,Ethylene Glycol
20,Hypalon®,A - Excellent,Ethylene Glycol
21,Hytrel®,A - Excellent,Ethylene Glycol
22,Kalrez,A - Excellent,Ethylene Glycol
23,Kel-F®,A - Excellent,Ethylene Glycol
24,LDPE,A2 - Excellent,Ethylene Glycol
25,Natural rubber,A - Excellent,Ethylene Glycol
26,Neoprene,A - Excellent,Ethylene Glycol
27,NORYL®,A - Excellent,Ethylene Glycol
28,Nylon,A - Excellent,Ethylene Glycol
29,Polycarbonate,B1 - Good,Ethylene Glycol
30,Polyetherether Ketone (PEEK),A - Excellent,Ethylene Glycol
31,Polypropylene,A - Excellent,Ethylene Glycol
32,Polyurethane,B - Good,Ethylene Glycol
33,PPS (Ryton®),A - Excellent,Ethylene Glycol
34,PTFE,A - Excellent,Ethylene Glycol
35,PVC,A - Excellent,Ethylene Glycol
36,PVDF (Kynar®),A - Excellent,Ethylene Glycol
37,Silicone,A - Excellent,Ethylene Glycol
38,stainless steel - 304,B - Good,Ethylene Glycol
39,stainless steel - 316,B - Good,Ethylene Glycol
40,Titanium,A1 - Excellent,Ethylene Glycol
41,Tygon®,B - Good,Ethylene Glycol
42,Viton®,A - Excellent,Ethylene Glycol
