,material,compatibility,chemical
0,,,Fatty Acids
1,ABS plastic,A - Excellent,Fatty Acids
2,Acetal (Delrin®),A - Excellent,Fatty Acids
3,Aluminum,A - Excellent,Fatty Acids
4,Brass,C - Fair,Fatty Acids
5,Bronze,A - Excellent,Fatty Acids
6,Buna N (Nitrile),B - Good,Fatty Acids
7,Carbon graphite,A - Excellent,Fatty Acids
8,Carbon Steel,C - Fair,Fatty Acids
9,Carpenter 20,C - Fair,Fatty Acids
10,Cast iron,C - Fair,Fatty Acids
11,Ceramic Al203,A - Excellent,Fatty Acids
12,Ceramic magnet,N/A,Fatty Acids
13,ChemRaz (FFKM),A - Excellent,Fatty Acids
14,Copper,D - Poor,Fatty Acids
15,CPVC,A - Excellent,Fatty Acids
16,EPDM,D - Poor,Fatty Acids
17,Epoxy,A - Excellent,Fatty Acids
18,Fluorocarbon (FKM),A - Excellent,Fatty Acids
19,Hastelloy-C®,A - Excellent,Fatty Acids
20,Hypalon®,B - Good,Fatty Acids
21,Hytrel®,N/A,Fatty Acids
22,Kalrez,A - Excellent,Fatty Acids
23,Kel-F®,A - Excellent,Fatty Acids
24,LDPE,D - Poor,Fatty Acids
25,Natural rubber,C - Fair,Fatty Acids
26,Neoprene,C - Fair,Fatty Acids
27,NORYL®,A1 - Excellent,Fatty Acids
28,Nylon,A1 - Excellent,Fatty Acids
29,Polycarbonate,B1 - Good,Fatty Acids
30,Polyetherether Ketone (PEEK),A - Excellent,Fatty Acids
31,Polypropylene,A - Excellent,Fatty Acids
32,Polyurethane,B - Good,Fatty Acids
33,PPS (Ryton®),N/A,Fatty Acids
34,PTFE,A - Excellent,Fatty Acids
35,PVC,A - Excellent,Fatty Acids
36,PVDF (Kynar®),A - Excellent,Fatty Acids
37,Silicone,C - Fair,Fatty Acids
38,stainless steel - 304,B - Good,Fatty Acids
39,stainless steel - 316,A - Excellent,Fatty Acids
40,Titanium,B - Good,Fatty Acids
41,Tygon®,B - Good,Fatty Acids
42,Viton®,A - Excellent,Fatty Acids
