,material,compatibility,chemical
0,,,Ferric Sulfate
1,ABS plastic,A2 - Excellent,Ferric Sulfate
2,Acetal (Delrin®),D - Poor,Ferric Sulfate
3,Aluminum,D - Poor,Ferric Sulfate
4,Brass,D - Poor,Ferric Sulfate
5,Bronze,C - Fair,Ferric Sulfate
6,Buna N (Nitrile),A - Excellent,Ferric Sulfate
7,Carbon graphite,A - Excellent,Ferric Sulfate
8,Carbon Steel,D - Poor,Ferric Sulfate
9,Carpenter 20,D - Poor,Ferric Sulfate
10,Cast iron,D - Poor,Ferric Sulfate
11,Ceramic Al203,A - Excellent,Ferric Sulfate
12,Ceramic magnet,N/A,Ferric Sulfate
13,ChemRaz (FFKM),A - Excellent,Ferric Sulfate
14,Copper,D - Poor,Ferric Sulfate
15,CPVC,A - Excellent,Ferric Sulfate
16,EPDM,A - Excellent,Ferric Sulfate
17,Epoxy,A - Excellent,Ferric Sulfate
18,Fluorocarbon (FKM),A - Excellent,Ferric Sulfate
19,Hastelloy-C®,A1 - Excellent,Ferric Sulfate
20,Hypalon®,A - Excellent,Ferric Sulfate
21,Hytrel®,N/A,Ferric Sulfate
22,Kalrez,A - Excellent,Ferric Sulfate
23,Kel-F®,A - Excellent,Ferric Sulfate
24,LDPE,A2 - Excellent,Ferric Sulfate
25,Natural rubber,A - Excellent,Ferric Sulfate
26,Neoprene,A - Excellent,Ferric Sulfate
27,NORYL®,A2 - Excellent,Ferric Sulfate
28,Nylon,A1 - Excellent,Ferric Sulfate
29,Polycarbonate,A1 - Excellent,Ferric Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Ferric Sulfate
31,Polypropylene,A - Excellent,Ferric Sulfate
32,Polyurethane,B - Good,Ferric Sulfate
33,PPS (Ryton®),A - Excellent,Ferric Sulfate
34,PTFE,A - Excellent,Ferric Sulfate
35,PVC,A - Excellent,Ferric Sulfate
36,PVDF (Kynar®),A - Excellent,Ferric Sulfate
37,Silicone,B - Good,Ferric Sulfate
38,stainless steel - 304,B1 - Good,Ferric Sulfate
39,stainless steel - 316,A - Excellent,Ferric Sulfate
40,Titanium,A1 - Excellent,Ferric Sulfate
41,Tygon®,B - Good,Ferric Sulfate
42,Viton®,A - Excellent,Ferric Sulfate
