,material,compatibility,chemical
0,,,Ferrous Sulfate
1,ABS plastic,A1 - Excellent,Ferrous Sulfate
2,Acetal (Delrin®),D - Poor,Ferrous Sulfate
3,Aluminum,B1 - Good,Ferrous Sulfate
4,Brass,B1 - Good,Ferrous Sulfate
5,Bronze,B - Good,Ferrous Sulfate
6,Buna N (Nitrile),A2 - Excellent,Ferrous Sulfate
7,Carbon graphite,A - Excellent,Ferrous Sulfate
8,Carbon Steel,D - Poor,Ferrous Sulfate
9,Carpenter 20,D - Poor,Ferrous Sulfate
10,Cast iron,D - Poor,Ferrous Sulfate
11,Ceramic Al203,A - Excellent,Ferrous Sulfate
12,Ceramic magnet,A - Excellent,Ferrous Sulfate
13,ChemRaz (FFKM),A - Excellent,Ferrous Sulfate
14,Copper,B - Good,Ferrous Sulfate
15,CPVC,A - Excellent,Ferrous Sulfate
16,EPDM,A - Excellent,Ferrous Sulfate
17,Epoxy,A - Excellent,Ferrous Sulfate
18,Fluorocarbon (FKM),A - Excellent,Ferrous Sulfate
19,Hastelloy-C®,B - Good,Ferrous Sulfate
20,Hypalon®,B - Good,Ferrous Sulfate
21,Hytrel®,N/A,Ferrous Sulfate
22,Kalrez,A - Excellent,Ferrous Sulfate
23,Kel-F®,A - Excellent,Ferrous Sulfate
24,LDPE,A2 - Excellent,Ferrous Sulfate
25,Natural rubber,B - Good,Ferrous Sulfate
26,Neoprene,N/A,Ferrous Sulfate
27,NORYL®,A2 - Excellent,Ferrous Sulfate
28,Nylon,D - Poor,Ferrous Sulfate
29,Polycarbonate,A1 - Excellent,Ferrous Sulfate
30,Polyetherether Ketone (PEEK),A - Excellent,Ferrous Sulfate
31,Polypropylene,A - Excellent,Ferrous Sulfate
32,Polyurethane,A - Excellent,Ferrous Sulfate
33,PPS (Ryton®),A - Excellent,Ferrous Sulfate
34,PTFE,A - Excellent,Ferrous Sulfate
35,PVC,A - Excellent,Ferrous Sulfate
36,PVDF (Kynar®),A - Excellent,Ferrous Sulfate
37,Silicone,N/A,Ferrous Sulfate
38,stainless steel - 304,B - Good,Ferrous Sulfate
39,stainless steel - 316,B - Good,Ferrous Sulfate
40,Titanium,A1 - Excellent,Ferrous Sulfate
41,Tygon®,B - Good,Ferrous Sulfate
42,Viton®,B - Good,Ferrous Sulfate
