,material,compatibility,chemical
0,,,Fluoboric Acid
1,ABS plastic,A2 - Excellent,Fluoboric Acid
2,Acetal (Delrin®),A1 - Excellent,Fluoboric Acid
3,Aluminum,D - Poor,Fluoboric Acid
4,Brass,N/A,Fluoboric Acid
5,Bronze,B1 - Good,Fluoboric Acid
6,Buna N (Nitrile),A - Excellent,Fluoboric Acid
7,Carbon graphite,A - Excellent,Fluoboric Acid
8,Carbon Steel,N/A,Fluoboric Acid
9,Carpenter 20,D - Poor,Fluoboric Acid
10,Cast iron,D - Poor,Fluoboric Acid
11,Ceramic Al203,C - Fair,Fluoboric Acid
12,Ceramic magnet,A - Excellent,Fluoboric Acid
13,ChemRaz (FFKM),A - Excellent,Fluoboric Acid
14,Copper,N/A,Fluoboric Acid
15,CPVC,A2 - Excellent,Fluoboric Acid
16,EPDM,A2 - Excellent,Fluoboric Acid
17,Epoxy,D - Poor,Fluoboric Acid
18,Fluorocarbon (FKM),A - Excellent,Fluoboric Acid
19,Hastelloy-C®,A1 - Excellent,Fluoboric Acid
20,Hypalon®,A - Excellent,Fluoboric Acid
21,Hytrel®,N/A,Fluoboric Acid
22,Kalrez,A - Excellent,Fluoboric Acid
23,Kel-F®,B - Good,Fluoboric Acid
24,LDPE,A2 - Excellent,Fluoboric Acid
25,Natural rubber,A - Excellent,Fluoboric Acid
26,Neoprene,A - Excellent,Fluoboric Acid
27,NORYL®,A1 - Excellent,Fluoboric Acid
28,Nylon,D - Poor,Fluoboric Acid
29,Polycarbonate,N/A,Fluoboric Acid
30,Polyetherether Ketone (PEEK),N/A,Fluoboric Acid
31,Polypropylene,A - Excellent,Fluoboric Acid
32,Polyurethane,D - Poor,Fluoboric Acid
33,PPS (Ryton®),A - Excellent,Fluoboric Acid
34,PTFE,A - Excellent,Fluoboric Acid
35,PVC,A - Excellent,Fluoboric Acid
36,PVDF (Kynar®),A1 - Excellent,Fluoboric Acid
37,Silicone,N/A,Fluoboric Acid
38,stainless steel - 304,B - Good,Fluoboric Acid
39,stainless steel - 316,B - Good,Fluoboric Acid
40,Titanium,D - Poor,Fluoboric Acid
41,Tygon®,B - Good,Fluoboric Acid
42,Viton®,B - Good,Fluoboric Acid
