,material,compatibility,chemical
0,,,Fluosilicic Acid
1,ABS plastic,A1 - Excellent,Fluosilicic Acid
2,Acetal (Delrin®),D - Poor,Fluosilicic Acid
3,Aluminum,A - Excellent,Fluosilicic Acid
4,Brass,A - Excellent,Fluosilicic Acid
5,Bronze,C - Fair,Fluosilicic Acid
6,Buna N (Nitrile),D - Poor,Fluosilicic Acid
7,Carbon graphite,C - Fair,Fluosilicic Acid
8,Carbon Steel,D - Poor,Fluosilicic Acid
9,Carpenter 20,D - Poor,Fluosilicic Acid
10,Cast iron,D - Poor,Fluosilicic Acid
11,Ceramic Al203,N/A,Fluosilicic Acid
12,Ceramic magnet,A - Excellent,Fluosilicic Acid
13,ChemRaz (FFKM),B - Good,Fluosilicic Acid
14,Copper,C - Fair,Fluosilicic Acid
15,CPVC,D - Poor,Fluosilicic Acid
16,EPDM,A1 - Excellent,Fluosilicic Acid
17,Epoxy,A1 - Excellent,Fluosilicic Acid
18,Fluorocarbon (FKM),B - Good,Fluosilicic Acid
19,Hastelloy-C®,B1 - Good,Fluosilicic Acid
20,Hypalon®,N/A,Fluosilicic Acid
21,Hytrel®,N/A,Fluosilicic Acid
22,Kalrez,B - Good,Fluosilicic Acid
23,Kel-F®,A - Excellent,Fluosilicic Acid
24,LDPE,D - Poor,Fluosilicic Acid
25,Natural rubber,C - Fair,Fluosilicic Acid
26,Neoprene,N/A,Fluosilicic Acid
27,NORYL®,N/A,Fluosilicic Acid
28,Nylon,D - Poor,Fluosilicic Acid
29,Polycarbonate,C - Fair,Fluosilicic Acid
30,Polyetherether Ketone (PEEK),D - Poor,Fluosilicic Acid
31,Polypropylene,D - Poor,Fluosilicic Acid
32,Polyurethane,D - Poor,Fluosilicic Acid
33,PPS (Ryton®),D - Poor,Fluosilicic Acid
34,PTFE,D - Poor,Fluosilicic Acid
35,PVC,D - Poor,Fluosilicic Acid
36,PVDF (Kynar®),A1 - Excellent,Fluosilicic Acid
37,Silicone,D - Poor,Fluosilicic Acid
38,stainless steel - 304,C - Fair,Fluosilicic Acid
39,stainless steel - 316,A - Excellent,Fluosilicic Acid
40,Titanium,D - Poor,Fluosilicic Acid
41,Tygon®,N/A,Fluosilicic Acid
42,Viton®,C - Fair,Fluosilicic Acid
