,material,compatibility,chemical
0,,,Formaldehyde 100%
1,ABS plastic,B - Good,Formaldehyde 100%
2,Acetal (Delrin®),A - Excellent,Formaldehyde 100%
3,Aluminum,A - Excellent,Formaldehyde 100%
4,Brass,N/A,Formaldehyde 100%
5,Bronze,B - Good,Formaldehyde 100%
6,Buna N (Nitrile),C - Fair,Formaldehyde 100%
7,Carbon graphite,N/A,Formaldehyde 100%
8,Carbon Steel,D - Poor,Formaldehyde 100%
9,Carpenter 20,A - Excellent,Formaldehyde 100%
10,Cast iron,C - Fair,Formaldehyde 100%
11,Ceramic Al203,N/A,Formaldehyde 100%
12,Ceramic magnet,A - Excellent,Formaldehyde 100%
13,ChemRaz (FFKM),A - Excellent,Formaldehyde 100%
14,Copper,A2 - Excellent,Formaldehyde 100%
15,CPVC,A - Excellent,Formaldehyde 100%
16,EPDM,A - Excellent,Formaldehyde 100%
17,Epoxy,A - Excellent,Formaldehyde 100%
18,Fluorocarbon (FKM),A - Excellent,Formaldehyde 100%
19,Hastelloy-C®,A - Excellent,Formaldehyde 100%
20,Hypalon®,C - Fair,Formaldehyde 100%
21,Hytrel®,N/A,Formaldehyde 100%
22,Kalrez,A - Excellent,Formaldehyde 100%
23,Kel-F®,A - Excellent,Formaldehyde 100%
24,LDPE,B - Good,Formaldehyde 100%
25,Natural rubber,C - Fair,Formaldehyde 100%
26,Neoprene,C - Fair,Formaldehyde 100%
27,NORYL®,A - Excellent,Formaldehyde 100%
28,Nylon,D - Poor,Formaldehyde 100%
29,Polycarbonate,A2 - Excellent,Formaldehyde 100%
30,Polyetherether Ketone (PEEK),A - Excellent,Formaldehyde 100%
31,Polypropylene,C - Fair,Formaldehyde 100%
32,Polyurethane,D - Poor,Formaldehyde 100%
33,PPS (Ryton®),B - Good,Formaldehyde 100%
34,PTFE,A - Excellent,Formaldehyde 100%
35,PVC,A - Excellent,Formaldehyde 100%
36,PVDF (Kynar®),A - Excellent,Formaldehyde 100%
37,Silicone,B - Good,Formaldehyde 100%
38,stainless steel - 304,C - Fair,Formaldehyde 100%
39,stainless steel - 316,A - Excellent,Formaldehyde 100%
40,Titanium,A - Excellent,Formaldehyde 100%
41,Tygon®,B - Good,Formaldehyde 100%
42,Viton®,D - Poor,Formaldehyde 100%
