,material,compatibility,chemical
0,,,Formic Acid
1,ABS plastic,D - Poor,Formic Acid
2,Acetal (Delrin®),A2 - Excellent,Formic Acid
3,Aluminum,A - Excellent,Formic Acid
4,Brass,D - Poor,Formic Acid
5,Bronze,C - Fair,Formic Acid
6,Buna N (Nitrile),C - Fair,Formic Acid
7,Carbon graphite,A - Excellent,Formic Acid
8,Carbon Steel,D - Poor,Formic Acid
9,Carpenter 20,C - Fair,Formic Acid
10,Cast iron,D - Poor,Formic Acid
11,Ceramic Al203,N/A,Formic Acid
12,Ceramic magnet,A - Excellent,Formic Acid
13,ChemRaz (FFKM),B - Good,Formic Acid
14,Copper,C - Fair,Formic Acid
15,CPVC,A2 - Excellent,Formic Acid
16,EPDM,A - Excellent,Formic Acid
17,Epoxy,C1 - Fair,Formic Acid
18,Fluorocarbon (FKM),D - Poor,Formic Acid
19,Hastelloy-C®,A - Excellent,Formic Acid
20,Hypalon®,A1 - Excellent,Formic Acid
21,Hytrel®,B - Good,Formic Acid
22,Kalrez,A - Excellent,Formic Acid
23,Kel-F®,A1 - Excellent,Formic Acid
24,LDPE,D - Poor,Formic Acid
25,Natural rubber,C - Fair,Formic Acid
26,Neoprene,A - Excellent,Formic Acid
27,NORYL®,A - Excellent,Formic Acid
28,Nylon,D - Poor,Formic Acid
29,Polycarbonate,A1 - Excellent,Formic Acid
30,Polyetherether Ketone (PEEK),C - Fair,Formic Acid
31,Polypropylene,A1 - Excellent,Formic Acid
32,Polyurethane,D - Poor,Formic Acid
33,PPS (Ryton®),A - Excellent,Formic Acid
34,PTFE,A - Excellent,Formic Acid
35,PVC,A1 - Excellent,Formic Acid
36,PVDF (Kynar®),A - Excellent,Formic Acid
37,Silicone,B - Good,Formic Acid
38,stainless steel - 304,B1 - Good,Formic Acid
39,stainless steel - 316,A1 - Excellent,Formic Acid
40,Titanium,C1 - Fair,Formic Acid
41,Tygon®,B - Good,Formic Acid
42,Viton®,C - Fair,Formic Acid
