,material,compatibility,chemical
0,,,Freon 22
1,ABS plastic,N/A,Freon 22
2,Acetal (Delrin®),A - Excellent,Freon 22
3,Aluminum,D - Poor,Freon 22
4,Brass,A - Excellent,Freon 22
5,Bronze,N/A,Freon 22
6,Buna N (Nitrile),D - Poor,Freon 22
7,Carbon graphite,N/A,Freon 22
8,Carbon Steel,D - Poor,Freon 22
9,Carpenter 20,A - Excellent,Freon 22
10,Cast iron,D - Poor,Freon 22
11,Ceramic Al203,N/A,Freon 22
12,Ceramic magnet,N/A,Freon 22
13,ChemRaz (FFKM),A - Excellent,Freon 22
14,Copper,B - Good,Freon 22
15,CPVC,B - Good,Freon 22
16,EPDM,A - Excellent,Freon 22
17,Epoxy,A - Excellent,Freon 22
18,Fluorocarbon (FKM),D - Poor,Freon 22
19,Hastelloy-C®,A - Excellent,Freon 22
20,Hypalon®,B - Good,Freon 22
21,Hytrel®,N/A,Freon 22
22,Kalrez,B - Good,Freon 22
23,Kel-F®,A - Excellent,Freon 22
24,LDPE,N/A,Freon 22
25,Natural rubber,D - Poor,Freon 22
26,Neoprene,A - Excellent,Freon 22
27,NORYL®,B - Good,Freon 22
28,Polyetherether Ketone (PEEK),A - Excellent,Freon 22
29,Polypropylene,B - Good,Freon 22
30,Polyurethane,D - Poor,Freon 22
31,PPS (Ryton®),A - Excellent,Freon 22
32,PTFE,A - Excellent,Freon 22
33,PVC,A - Excellent,Freon 22
34,PVDF (Kynar®),A - Excellent,Freon 22
35,Silicone,D - Poor,Freon 22
36,stainless steel - 304,A - Excellent,Freon 22
37,stainless steel - 316,A - Excellent,Freon 22
38,Titanium,B - Good,Freon 22
39,Tygon®,D - Poor,Freon 22
40,Viton®,D - Poor,Freon 22
