,material,compatibility,chemical
0,,,Freon TF
1,ABS plastic,N/A,Freon TF
2,Acetal (Delrin®),A - Excellent,Freon TF
3,Aluminum,D - Poor,Freon TF
4,Brass,N/A,Freon TF
5,Bronze,N/A,Freon TF
6,Buna N (Nitrile),A - Excellent,Freon TF
7,Carbon graphite,N/A,Freon TF
8,Carbon Steel,N/A,Freon TF
9,Carpenter 20,A - Excellent,Freon TF
10,Cast iron,A - Excellent,Freon TF
11,Ceramic Al203,A - Excellent,Freon TF
12,Ceramic magnet,A - Excellent,Freon TF
13,ChemRaz (FFKM),C - Fair,Freon TF
14,Copper,A - Excellent,Freon TF
15,CPVC,B - Good,Freon TF
16,EPDM,D - Poor,Freon TF
17,Epoxy,A - Excellent,Freon TF
18,Fluorocarbon (FKM),B - Good,Freon TF
19,Hastelloy-C®,A - Excellent,Freon TF
20,Hypalon®,A - Excellent,Freon TF
21,Hytrel®,A - Excellent,Freon TF
22,Kalrez,C - Fair,Freon TF
23,Kel-F®,N/A,Freon TF
24,LDPE,N/A,Freon TF
25,Natural rubber,D - Poor,Freon TF
26,Neoprene,A - Excellent,Freon TF
27,NORYL®,N/A,Freon TF
28,Polyetherether Ketone (PEEK),A - Excellent,Freon TF
29,Polypropylene,D - Poor,Freon TF
30,Polyurethane,B - Good,Freon TF
31,PPS (Ryton®),D - Poor,Freon TF
32,PTFE,A - Excellent,Freon TF
33,PVC,B - Good,Freon TF
34,PVDF (Kynar®),B - Good,Freon TF
35,Silicone,D - Poor,Freon TF
36,stainless steel - 304,A - Excellent,Freon TF
37,stainless steel - 316,A - Excellent,Freon TF
38,Titanium,B - Good,Freon TF
39,Tygon®,D - Poor,Freon TF
40,Viton®,B - Good,Freon TF
