,material,compatibility,chemical
0,,,Furan Resin
1,ABS plastic,N/A,Furan Resin
2,Acetal (Delrin®),D - Poor,Furan Resin
3,Aluminum,A - Excellent,Furan Resin
4,Brass,N/A,Furan Resin
5,Bronze,N/A,Furan Resin
6,Buna N (Nitrile),D - Poor,Furan Resin
7,Carbon graphite,N/A,Furan Resin
8,Carbon Steel,A - Excellent,Furan Resin
9,Carpenter 20,A - Excellent,Furan Resin
10,Cast iron,N/A,Furan Resin
11,Ceramic Al203,N/A,Furan Resin
12,Ceramic magnet,N/A,Furan Resin
13,ChemRaz (FFKM),A - Excellent,Furan Resin
14,Copper,N/A,Furan Resin
15,CPVC,N/A,Furan Resin
16,EPDM,C - Fair,Furan Resin
17,Epoxy,A1 - Excellent,Furan Resin
18,Fluorocarbon (FKM),D - Poor,Furan Resin
19,Hastelloy-C®,B - Good,Furan Resin
20,Hypalon®,D - Poor,Furan Resin
21,Hytrel®,N/A,Furan Resin
22,Kalrez,A - Excellent,Furan Resin
23,Kel-F®,A1 - Excellent,Furan Resin
24,LDPE,D - Poor,Furan Resin
25,Natural rubber,D - Poor,Furan Resin
26,Neoprene,D - Poor,Furan Resin
27,NORYL®,N/A,Furan Resin
28,Nylon,N/A,Furan Resin
29,Polycarbonate,N/A,Furan Resin
30,Polyetherether Ketone (PEEK),N/A,Furan Resin
31,Polypropylene,D - Poor,Furan Resin
32,Polyurethane,D - Poor,Furan Resin
33,PPS (Ryton®),A - Excellent,Furan Resin
34,PTFE,A - Excellent,Furan Resin
35,PVC,A - Excellent,Furan Resin
36,PVDF (Kynar®),D - Poor,Furan Resin
37,Silicone,D - Poor,Furan Resin
38,stainless steel - 304,A1 - Excellent,Furan Resin
39,stainless steel - 316,A - Excellent,Furan Resin
40,Titanium,N/A,Furan Resin
41,Tygon®,A - Excellent,Furan Resin
42,Viton®,D - Poor,Furan Resin
