,material,compatibility,chemical
0,,,Furfural
1,ABS plastic,D - Poor,Furfural
2,Acetal (Delrin®),A - Excellent,Furfural
3,Aluminum,A1 - Excellent,Furfural
4,Brass,N/A,Furfural
5,Bronze,B - Good,Furfural
6,Buna N (Nitrile),D - Poor,Furfural
7,Carbon graphite,A - Excellent,Furfural
8,Carbon Steel,B - Good,Furfural
9,Carpenter 20,A - Excellent,Furfural
10,Cast iron,B - Good,Furfural
11,Ceramic Al203,N/A,Furfural
12,Ceramic magnet,N/A,Furfural
13,ChemRaz (FFKM),B - Good,Furfural
14,Copper,A - Excellent,Furfural
15,CPVC,D - Poor,Furfural
16,EPDM,D - Poor,Furfural
17,Epoxy,A1 - Excellent,Furfural
18,Fluorocarbon (FKM),D - Poor,Furfural
19,Hastelloy-C®,B - Good,Furfural
20,Hypalon®,B - Good,Furfural
21,Hytrel®,N/A,Furfural
22,Kalrez,A - Excellent,Furfural
23,Kel-F®,D - Poor,Furfural
24,LDPE,D - Poor,Furfural
25,Natural rubber,D - Poor,Furfural
26,Neoprene,D - Poor,Furfural
27,NORYL®,D - Poor,Furfural
28,Nylon,B - Good,Furfural
29,Polycarbonate,D - Poor,Furfural
30,Polyetherether Ketone (PEEK),N/A,Furfural
31,Polypropylene,D - Poor,Furfural
32,Polyurethane,D - Poor,Furfural
33,PPS (Ryton®),A - Excellent,Furfural
34,PTFE,A - Excellent,Furfural
35,PVC,D - Poor,Furfural
36,PVDF (Kynar®),B2 - Good,Furfural
37,Silicone,D - Poor,Furfural
38,stainless steel - 304,A - Excellent,Furfural
39,stainless steel - 316,B - Good,Furfural
40,Titanium,A - Excellent,Furfural
41,Tygon®,D - Poor,Furfural
42,Viton®,D - Poor,Furfural
