,material,compatibility,chemical
0,,,Gallic Acid
1,ABS plastic,D - Poor,Gallic Acid
2,Acetal (Delrin®),A - Excellent,Gallic Acid
3,Aluminum,A1 - Excellent,Gallic Acid
4,Brass,N/A,Gallic Acid
5,Bronze,B - Good,Gallic Acid
6,Buna N (Nitrile),D - Poor,Gallic Acid
7,Carbon graphite,A - Excellent,Gallic Acid
8,Carbon Steel,B - Good,Gallic Acid
9,Carpenter 20,A - Excellent,Gallic Acid
10,Cast iron,B - Good,Gallic Acid
11,Ceramic Al203,N/A,Gallic Acid
12,Ceramic magnet,N/A,Gallic Acid
13,ChemRaz (FFKM),B - Good,Gallic Acid
14,Copper,A - Excellent,Gallic Acid
15,CPVC,D - Poor,Gallic Acid
16,EPDM,D - Poor,Gallic Acid
17,Epoxy,A1 - Excellent,Gallic Acid
18,Fluorocarbon (FKM),D - Poor,Gallic Acid
19,Hastelloy-C®,B - Good,Gallic Acid
20,Hypalon®,B - Good,Gallic Acid
21,Hytrel®,N/A,Gallic Acid
22,Kalrez,A - Excellent,Gallic Acid
23,Kel-F®,D - Poor,Gallic Acid
24,LDPE,D - Poor,Gallic Acid
25,Natural rubber,D - Poor,Gallic Acid
26,Neoprene,D - Poor,Gallic Acid
27,NORYL®,D - Poor,Gallic Acid
28,Nylon,B - Good,Gallic Acid
29,Polycarbonate,D - Poor,Gallic Acid
30,Polyetherether Ketone (PEEK),N/A,Gallic Acid
31,Polypropylene,D - Poor,Gallic Acid
32,Polyurethane,D - Poor,Gallic Acid
33,PPS (Ryton®),A - Excellent,Gallic Acid
34,PTFE,A - Excellent,Gallic Acid
35,PVC,D - Poor,Gallic Acid
36,PVDF (Kynar®),B2 - Good,Gallic Acid
37,Silicone,D - Poor,Gallic Acid
38,stainless steel - 304,A - Excellent,Gallic Acid
39,stainless steel - 316,B - Good,Gallic Acid
40,Titanium,A - Excellent,Gallic Acid
41,Tygon®,D - Poor,Gallic Acid
42,Viton®,D - Poor,Gallic Acid
