,material,compatibility,chemical
0,,,Gasoline (high-aromatic)
1,ABS plastic,D - Poor,Gasoline (high-aromatic)
2,Acetal (Delrin®),B - Good,Gasoline (high-aromatic)
3,Aluminum,D - Poor,Gasoline (high-aromatic)
4,Brass,N/A,Gasoline (high-aromatic)
5,Bronze,A - Excellent,Gasoline (high-aromatic)
6,Buna N (Nitrile),A - Excellent,Gasoline (high-aromatic)
7,Carbon graphite,A - Excellent,Gasoline (high-aromatic)
8,Carbon Steel,N/A,Gasoline (high-aromatic)
9,Carpenter 20,A - Excellent,Gasoline (high-aromatic)
10,Cast iron,A - Excellent,Gasoline (high-aromatic)
11,Ceramic Al203,A - Excellent,Gasoline (high-aromatic)
12,Ceramic magnet,A - Excellent,Gasoline (high-aromatic)
13,ChemRaz (FFKM),N/A,Gasoline (high-aromatic)
14,Copper,N/A,Gasoline (high-aromatic)
15,CPVC,C1 - Fair,Gasoline (high-aromatic)
16,EPDM,D - Poor,Gasoline (high-aromatic)
17,Epoxy,A - Excellent,Gasoline (high-aromatic)
18,Fluorocarbon (FKM),A - Excellent,Gasoline (high-aromatic)
19,Hastelloy-C®,A - Excellent,Gasoline (high-aromatic)
20,Hypalon®,B - Good,Gasoline (high-aromatic)
21,Hytrel®,A - Excellent,Gasoline (high-aromatic)
22,Kalrez,N/A,Gasoline (high-aromatic)
23,Kel-F®,A - Excellent,Gasoline (high-aromatic)
24,LDPE,A - Excellent,Gasoline (high-aromatic)
25,Natural rubber,D - Poor,Gasoline (high-aromatic)
26,Neoprene,A - Excellent,Gasoline (high-aromatic)
27,NORYL®,B - Good,Gasoline (high-aromatic)
28,Nylon,A - Excellent,Gasoline (high-aromatic)
29,Polycarbonate,A - Excellent,Gasoline (high-aromatic)
30,Polyetherether Ketone (PEEK),N/A,Gasoline (high-aromatic)
31,Polypropylene,A - Excellent,Gasoline (high-aromatic)
32,Polyurethane,N/A,Gasoline (high-aromatic)
33,PPS (Ryton®),A - Excellent,Gasoline (high-aromatic)
34,PTFE,B - Good,Gasoline (high-aromatic)
35,PVC,A - Excellent,Gasoline (high-aromatic)
36,PVDF (Kynar®),A - Excellent,Gasoline (high-aromatic)
37,Silicone,D - Poor,Gasoline (high-aromatic)
38,stainless steel - 304,A - Excellent,Gasoline (high-aromatic)
39,stainless steel - 316,A - Excellent,Gasoline (high-aromatic)
40,Titanium,B - Good,Gasoline (high-aromatic)
41,Tygon®,A - Excellent,Gasoline (high-aromatic)
42,Viton®,A - Excellent,Gasoline (high-aromatic)
