,material,compatibility,chemical
0,,,"Gasoline, leaded, ref."
1,ABS plastic,D - Poor,"Gasoline, leaded, ref."
2,Acetal (Delrin®),A - Excellent,"Gasoline, leaded, ref."
3,Aluminum,A - Excellent,"Gasoline, leaded, ref."
4,Brass,N/A,"Gasoline, leaded, ref."
5,Bronze,A2 - Excellent,"Gasoline, leaded, ref."
6,Buna N (Nitrile),A2 - Excellent,"Gasoline, leaded, ref."
7,Carbon graphite,A2 - Excellent,"Gasoline, leaded, ref."
8,Carbon Steel,B - Good,"Gasoline, leaded, ref."
9,Carpenter 20,N/A,"Gasoline, leaded, ref."
10,Cast iron,N/A,"Gasoline, leaded, ref."
11,Ceramic Al203,A - Excellent,"Gasoline, leaded, ref."
12,Ceramic magnet,A - Excellent,"Gasoline, leaded, ref."
13,ChemRaz (FFKM),N/A,"Gasoline, leaded, ref."
14,Copper,B - Good,"Gasoline, leaded, ref."
15,CPVC,N/A,"Gasoline, leaded, ref."
16,EPDM,D - Poor,"Gasoline, leaded, ref."
17,Epoxy,A2 - Excellent,"Gasoline, leaded, ref."
18,Fluorocarbon (FKM),A - Excellent,"Gasoline, leaded, ref."
19,Hastelloy-C®,A - Excellent,"Gasoline, leaded, ref."
20,Hypalon®,B - Good,"Gasoline, leaded, ref."
21,Hytrel®,A - Excellent,"Gasoline, leaded, ref."
22,Kalrez,N/A,"Gasoline, leaded, ref."
23,Kel-F®,A2 - Excellent,"Gasoline, leaded, ref."
24,LDPE,N/A,"Gasoline, leaded, ref."
25,Natural rubber,D - Poor,"Gasoline, leaded, ref."
26,Neoprene,B - Good,"Gasoline, leaded, ref."
27,NORYL®,B - Good,"Gasoline, leaded, ref."
28,Nylon,A2 - Excellent,"Gasoline, leaded, ref."
29,Polycarbonate,A2 - Excellent,"Gasoline, leaded, ref."
30,Polyetherether Ketone (PEEK),A - Excellent,"Gasoline, leaded, ref."
31,Polypropylene,B - Good,"Gasoline, leaded, ref."
32,Polyurethane,C - Fair,"Gasoline, leaded, ref."
33,PPS (Ryton®),A - Excellent,"Gasoline, leaded, ref."
34,PTFE,A - Excellent,"Gasoline, leaded, ref."
35,PVC,B - Good,"Gasoline, leaded, ref."
36,PVDF (Kynar®),A - Excellent,"Gasoline, leaded, ref."
37,Silicone,D - Poor,"Gasoline, leaded, ref."
38,stainless steel - 304,A1 - Excellent,"Gasoline, leaded, ref."
39,stainless steel - 316,A2 - Excellent,"Gasoline, leaded, ref."
40,Titanium,A - Excellent,"Gasoline, leaded, ref."
41,Tygon®,C - Fair,"Gasoline, leaded, ref."
42,Viton®,A1 - Excellent,"Gasoline, leaded, ref."
