,material,compatibility,chemical
0,,,"Gasoline, unleaded"
1,ABS plastic,D - Poor,"Gasoline, unleaded"
2,Acetal (Delrin®),A - Excellent,"Gasoline, unleaded"
3,Aluminum,A - Excellent,"Gasoline, unleaded"
4,Brass,N/A,"Gasoline, unleaded"
5,Bronze,A2 - Excellent,"Gasoline, unleaded"
6,Buna N (Nitrile),A2 - Excellent,"Gasoline, unleaded"
7,Carbon graphite,A2 - Excellent,"Gasoline, unleaded"
8,Carbon Steel,B - Good,"Gasoline, unleaded"
9,Carpenter 20,N/A,"Gasoline, unleaded"
10,Cast iron,N/A,"Gasoline, unleaded"
11,Ceramic Al203,A - Excellent,"Gasoline, unleaded"
12,Ceramic magnet,A - Excellent,"Gasoline, unleaded"
13,ChemRaz (FFKM),N/A,"Gasoline, unleaded"
14,Copper,B - Good,"Gasoline, unleaded"
15,CPVC,N/A,"Gasoline, unleaded"
16,EPDM,D - Poor,"Gasoline, unleaded"
17,Epoxy,A2 - Excellent,"Gasoline, unleaded"
18,Fluorocarbon (FKM),A - Excellent,"Gasoline, unleaded"
19,Hastelloy-C®,A - Excellent,"Gasoline, unleaded"
20,Hypalon®,B - Good,"Gasoline, unleaded"
21,Hytrel®,A - Excellent,"Gasoline, unleaded"
22,Kalrez,N/A,"Gasoline, unleaded"
23,Kel-F®,A2 - Excellent,"Gasoline, unleaded"
24,LDPE,N/A,"Gasoline, unleaded"
25,Natural rubber,D - Poor,"Gasoline, unleaded"
26,Neoprene,B - Good,"Gasoline, unleaded"
27,NORYL®,B - Good,"Gasoline, unleaded"
28,Nylon,A2 - Excellent,"Gasoline, unleaded"
29,Polycarbonate,A2 - Excellent,"Gasoline, unleaded"
30,Polyetherether Ketone (PEEK),A - Excellent,"Gasoline, unleaded"
31,Polypropylene,B - Good,"Gasoline, unleaded"
32,Polyurethane,C - Fair,"Gasoline, unleaded"
33,PPS (Ryton®),A - Excellent,"Gasoline, unleaded"
34,PTFE,A - Excellent,"Gasoline, unleaded"
35,PVC,B - Good,"Gasoline, unleaded"
36,PVDF (Kynar®),A - Excellent,"Gasoline, unleaded"
37,Silicone,D - Poor,"Gasoline, unleaded"
38,stainless steel - 304,A1 - Excellent,"Gasoline, unleaded"
39,stainless steel - 316,A2 - Excellent,"Gasoline, unleaded"
40,Titanium,A - Excellent,"Gasoline, unleaded"
41,Tygon®,C - Fair,"Gasoline, unleaded"
42,Viton®,A1 - Excellent,"Gasoline, unleaded"
