,material,compatibility,chemical
0,,,Glucose
1,ABS plastic,B - Good,Glucose
2,Acetal (Delrin®),A - Excellent,Glucose
3,Aluminum,A - Excellent,Glucose
4,Brass,A - Excellent,Glucose
5,Bronze,N/A,Glucose
6,Buna N (Nitrile),A - Excellent,Glucose
7,Carbon graphite,A - Excellent,Glucose
8,Carbon Steel,B - Good,Glucose
9,Carpenter 20,A - Excellent,Glucose
10,Cast iron,A - Excellent,Glucose
11,Ceramic Al203,N/A,Glucose
12,Ceramic magnet,A - Excellent,Glucose
13,ChemRaz (FFKM),A - Excellent,Glucose
14,Copper,A - Excellent,Glucose
15,CPVC,A2 - Excellent,Glucose
16,EPDM,A - Excellent,Glucose
17,Epoxy,B - Good,Glucose
18,Fluorocarbon (FKM),A - Excellent,Glucose
19,Hastelloy-C®,A - Excellent,Glucose
20,Hypalon®,B - Good,Glucose
21,Hytrel®,N/A,Glucose
22,Kalrez,A - Excellent,Glucose
23,Kel-F®,N/A,Glucose
24,LDPE,A2 - Excellent,Glucose
25,Natural rubber,A - Excellent,Glucose
26,Neoprene,A - Excellent,Glucose
27,NORYL®,A2 - Excellent,Glucose
28,Nylon,A - Excellent,Glucose
29,Polycarbonate,A1 - Excellent,Glucose
30,Polyetherether Ketone (PEEK),N/A,Glucose
31,Polypropylene,A - Excellent,Glucose
32,Polyurethane,D - Poor,Glucose
33,PPS (Ryton®),B - Good,Glucose
34,PTFE,A - Excellent,Glucose
35,PVC,A2 - Excellent,Glucose
36,PVDF (Kynar®),A - Excellent,Glucose
37,Silicone,A - Excellent,Glucose
38,stainless steel - 304,A1 - Excellent,Glucose
39,stainless steel - 316,A - Excellent,Glucose
40,Titanium,A - Excellent,Glucose
41,Tygon®,A - Excellent,Glucose
42,Viton®,A - Excellent,Glucose
