,material,compatibility,chemical
0,,,Glycolic Acid
1,ABS plastic,B - Good,Glycolic Acid
2,Acetal (Delrin®),A - Excellent,Glycolic Acid
3,Aluminum,N/A,Glycolic Acid
4,Brass,N/A,Glycolic Acid
5,Bronze,N/A,Glycolic Acid
6,Buna N (Nitrile),A - Excellent,Glycolic Acid
7,Carbon graphite,A - Excellent,Glycolic Acid
8,Carbon Steel,D - Poor,Glycolic Acid
9,Carpenter 20,N/A,Glycolic Acid
10,Cast iron,N/A,Glycolic Acid
11,Ceramic Al203,N/A,Glycolic Acid
12,Ceramic magnet,N/A,Glycolic Acid
13,ChemRaz (FFKM),A - Excellent,Glycolic Acid
14,Copper,N/A,Glycolic Acid
15,CPVC,A - Excellent,Glycolic Acid
16,EPDM,A - Excellent,Glycolic Acid
17,Epoxy,A - Excellent,Glycolic Acid
18,Fluorocarbon (FKM),D - Poor,Glycolic Acid
19,Hastelloy-C®,A - Excellent,Glycolic Acid
20,Hypalon®,A - Excellent,Glycolic Acid
21,Hytrel®,N/A,Glycolic Acid
22,Kalrez,A - Excellent,Glycolic Acid
23,Kel-F®,B - Good,Glycolic Acid
24,LDPE,A2 - Excellent,Glycolic Acid
25,Natural rubber,D - Poor,Glycolic Acid
26,Neoprene,A - Excellent,Glycolic Acid
27,NORYL®,N/A,Glycolic Acid
28,Nylon,N/A,Glycolic Acid
29,Polycarbonate,N/A,Glycolic Acid
30,Polyetherether Ketone (PEEK),N/A,Glycolic Acid
31,Polypropylene,A - Excellent,Glycolic Acid
32,Polyurethane,D - Poor,Glycolic Acid
33,PPS (Ryton®),A - Excellent,Glycolic Acid
34,PTFE,A - Excellent,Glycolic Acid
35,PVC,B - Good,Glycolic Acid
36,PVDF (Kynar®),B - Good,Glycolic Acid
37,Silicone,A - Excellent,Glycolic Acid
38,stainless steel - 304,A - Excellent,Glycolic Acid
39,stainless steel - 316,A - Excellent,Glycolic Acid
40,Titanium,A - Excellent,Glycolic Acid
41,Tygon®,A - Excellent,Glycolic Acid
42,Viton®,A - Excellent,Glycolic Acid
