,material,compatibility,chemical
0,,,Gold Monocyanide
1,ABS plastic,N/A,Gold Monocyanide
2,Acetal (Delrin®),A - Excellent,Gold Monocyanide
3,Aluminum,N/A,Gold Monocyanide
4,Brass,N/A,Gold Monocyanide
5,Bronze,N/A,Gold Monocyanide
6,Buna N (Nitrile),A - Excellent,Gold Monocyanide
7,Carbon graphite,N/A,Gold Monocyanide
8,Carbon Steel,N/A,Gold Monocyanide
9,Carpenter 20,A - Excellent,Gold Monocyanide
10,Cast iron,D - Poor,Gold Monocyanide
11,Ceramic Al203,N/A,Gold Monocyanide
12,Ceramic magnet,N/A,Gold Monocyanide
13,ChemRaz (FFKM),N/A,Gold Monocyanide
14,Copper,N/A,Gold Monocyanide
15,CPVC,N/A,Gold Monocyanide
16,EPDM,N/A,Gold Monocyanide
17,Epoxy,A - Excellent,Gold Monocyanide
18,Fluorocarbon (FKM),N/A,Gold Monocyanide
19,Hastelloy-C®,N/A,Gold Monocyanide
20,Hypalon®,N/A,Gold Monocyanide
21,Hytrel®,N/A,Gold Monocyanide
22,Kalrez,N/A,Gold Monocyanide
23,Kel-F®,N/A,Gold Monocyanide
24,LDPE,N/A,Gold Monocyanide
25,Natural rubber,N/A,Gold Monocyanide
26,Neoprene,A - Excellent,Gold Monocyanide
27,NORYL®,N/A,Gold Monocyanide
28,Nylon,N/A,Gold Monocyanide
29,Polycarbonate,N/A,Gold Monocyanide
30,Polyetherether Ketone (PEEK),N/A,Gold Monocyanide
31,Polypropylene,N/A,Gold Monocyanide
32,Polyurethane,N/A,Gold Monocyanide
33,PPS (Ryton®),N/A,Gold Monocyanide
34,PTFE,D - Poor,Gold Monocyanide
35,PVC,N/A,Gold Monocyanide
36,PVDF (Kynar®),A - Excellent,Gold Monocyanide
37,Silicone,N/A,Gold Monocyanide
38,stainless steel - 304,A - Excellent,Gold Monocyanide
39,stainless steel - 316,A - Excellent,Gold Monocyanide
40,Titanium,N/A,Gold Monocyanide
41,Tygon®,A - Excellent,Gold Monocyanide
42,Viton®,A - Excellent,Gold Monocyanide
