,material,compatibility,chemical
0,,,Grease
1,ABS plastic,N/A,Grease
2,Acetal (Delrin®),D - Poor,Grease
3,Aluminum,N/A,Grease
4,Brass,A - Excellent,Grease
5,Bronze,A - Excellent,Grease
6,Buna N (Nitrile),A - Excellent,Grease
7,Carbon graphite,N/A,Grease
8,Carbon Steel,N/A,Grease
9,Carpenter 20,A - Excellent,Grease
10,Cast iron,A - Excellent,Grease
11,Ceramic Al203,N/A,Grease
12,Ceramic magnet,N/A,Grease
13,ChemRaz (FFKM),N/A,Grease
14,Copper,A - Excellent,Grease
15,CPVC,N/A,Grease
16,EPDM,D - Poor,Grease
17,Epoxy,A - Excellent,Grease
18,Fluorocarbon (FKM),A - Excellent,Grease
19,Hastelloy-C®,A - Excellent,Grease
20,Hypalon®,N/A,Grease
21,Hytrel®,N/A,Grease
22,Kalrez,N/A,Grease
23,Kel-F®,N/A,Grease
24,LDPE,N/A,Grease
25,Natural rubber,D - Poor,Grease
26,Neoprene,D - Poor,Grease
27,NORYL®,N/A,Grease
28,Nylon,N/A,Grease
29,Polycarbonate,N/A,Grease
30,Polyetherether Ketone (PEEK),N/A,Grease
31,Polypropylene,N/A,Grease
32,Polyurethane,A - Excellent,Grease
33,PPS (Ryton®),N/A,Grease
34,PTFE,A - Excellent,Grease
35,PVC,A - Excellent,Grease
36,PVDF (Kynar®),A - Excellent,Grease
37,Silicone,D - Poor,Grease
38,stainless steel - 304,N/A,Grease
39,stainless steel - 316,A - Excellent,Grease
40,Titanium,N/A,Grease
41,Tygon®,A - Excellent,Grease
42,Viton®,A - Excellent,Grease
