,material,compatibility,chemical
0,,,Honey
1,ABS plastic,N/A,Honey
2,Acetal (Delrin®),A - Excellent,Honey
3,Aluminum,A - Excellent,Honey
4,Brass,N/A,Honey
5,Bronze,A - Excellent,Honey
6,Buna N (Nitrile),A - Excellent,Honey
7,Carbon graphite,N/A,Honey
8,Carbon Steel,N/A,Honey
9,Carpenter 20,A - Excellent,Honey
10,Cast iron,A - Excellent,Honey
11,Ceramic Al203,N/A,Honey
12,Ceramic magnet,N/A,Honey
13,ChemRaz (FFKM),N/A,Honey
14,Copper,N/A,Honey
15,CPVC,N/A,Honey
16,EPDM,A - Excellent,Honey
17,Epoxy,A - Excellent,Honey
18,Fluorocarbon (FKM),A - Excellent,Honey
19,Hastelloy-C®,A - Excellent,Honey
20,Hypalon®,N/A,Honey
21,Hytrel®,N/A,Honey
22,Kalrez,N/A,Honey
23,Kel-F®,N/A,Honey
24,LDPE,B - Good,Honey
25,Natural rubber,A - Excellent,Honey
26,Neoprene,N/A,Honey
27,NORYL®,N/A,Honey
28,Nylon,A - Excellent,Honey
29,Polycarbonate,A1 - Excellent,Honey
30,Polyetherether Ketone (PEEK),N/A,Honey
31,Polypropylene,A - Excellent,Honey
32,Polyurethane,N/A,Honey
33,PPS (Ryton®),N/A,Honey
34,PTFE,A - Excellent,Honey
35,PVC,A - Excellent,Honey
36,PVDF (Kynar®),A - Excellent,Honey
37,Silicone,A - Excellent,Honey
38,stainless steel - 304,A - Excellent,Honey
39,stainless steel - 316,A - Excellent,Honey
40,Titanium,N/A,Honey
41,Tygon®,A - Excellent,Honey
42,Viton®,A - Excellent,Honey
