,material,compatibility,chemical
0,,,Hydraulic Oil (Petro)
1,ABS plastic,N/A,Hydraulic Oil (Petro)
2,Acetal (Delrin®),B - Good,Hydraulic Oil (Petro)
3,Aluminum,A - Excellent,Hydraulic Oil (Petro)
4,Brass,A - Excellent,Hydraulic Oil (Petro)
5,Bronze,A - Excellent,Hydraulic Oil (Petro)
6,Buna N (Nitrile),A - Excellent,Hydraulic Oil (Petro)
7,Carbon graphite,B - Good,Hydraulic Oil (Petro)
8,Carbon Steel,A - Excellent,Hydraulic Oil (Petro)
9,Carpenter 20,A - Excellent,Hydraulic Oil (Petro)
10,Cast iron,A - Excellent,Hydraulic Oil (Petro)
11,Ceramic Al203,N/A,Hydraulic Oil (Petro)
12,Ceramic magnet,N/A,Hydraulic Oil (Petro)
13,ChemRaz (FFKM),A - Excellent,Hydraulic Oil (Petro)
14,Copper,A - Excellent,Hydraulic Oil (Petro)
15,CPVC,N/A,Hydraulic Oil (Petro)
16,EPDM,D - Poor,Hydraulic Oil (Petro)
17,Epoxy,A - Excellent,Hydraulic Oil (Petro)
18,Fluorocarbon (FKM),A - Excellent,Hydraulic Oil (Petro)
19,Hastelloy-C®,A - Excellent,Hydraulic Oil (Petro)
20,Hypalon®,A - Excellent,Hydraulic Oil (Petro)
21,Hytrel®,N/A,Hydraulic Oil (Petro)
22,Kalrez,A - Excellent,Hydraulic Oil (Petro)
23,Kel-F®,N/A,Hydraulic Oil (Petro)
24,LDPE,C - Fair,Hydraulic Oil (Petro)
25,Natural rubber,D - Poor,Hydraulic Oil (Petro)
26,Neoprene,A - Excellent,Hydraulic Oil (Petro)
27,NORYL®,N/A,Hydraulic Oil (Petro)
28,Nylon,A1 - Excellent,Hydraulic Oil (Petro)
29,Polycarbonate,N/A,Hydraulic Oil (Petro)
30,Polyetherether Ketone (PEEK),A - Excellent,Hydraulic Oil (Petro)
31,Polypropylene,D - Poor,Hydraulic Oil (Petro)
32,Polyurethane,N/A,Hydraulic Oil (Petro)
33,PPS (Ryton®),D - Poor,Hydraulic Oil (Petro)
34,PTFE,A - Excellent,Hydraulic Oil (Petro)
35,PVC,A - Excellent,Hydraulic Oil (Petro)
36,PVDF (Kynar®),A - Excellent,Hydraulic Oil (Petro)
37,Silicone,B - Good,Hydraulic Oil (Petro)
38,stainless steel - 304,A - Excellent,Hydraulic Oil (Petro)
39,stainless steel - 316,A - Excellent,Hydraulic Oil (Petro)
40,Titanium,N/A,Hydraulic Oil (Petro)
41,Tygon®,A - Excellent,Hydraulic Oil (Petro)
42,Viton®,A - Excellent,Hydraulic Oil (Petro)
