,material,compatibility,chemical
0,,,Hydraulic Oil (Synthetic)
1,ABS plastic,N/A,Hydraulic Oil (Synthetic)
2,Acetal (Delrin®),N/A,Hydraulic Oil (Synthetic)
3,Aluminum,A - Excellent,Hydraulic Oil (Synthetic)
4,Brass,A - Excellent,Hydraulic Oil (Synthetic)
5,Bronze,A - Excellent,Hydraulic Oil (Synthetic)
6,Buna N (Nitrile),D - Poor,Hydraulic Oil (Synthetic)
7,Carbon graphite,B - Good,Hydraulic Oil (Synthetic)
8,Carbon Steel,A - Excellent,Hydraulic Oil (Synthetic)
9,Carpenter 20,A - Excellent,Hydraulic Oil (Synthetic)
10,Cast iron,N/A,Hydraulic Oil (Synthetic)
11,Ceramic Al203,N/A,Hydraulic Oil (Synthetic)
12,Ceramic magnet,N/A,Hydraulic Oil (Synthetic)
13,ChemRaz (FFKM),N/A,Hydraulic Oil (Synthetic)
14,Copper,A - Excellent,Hydraulic Oil (Synthetic)
15,CPVC,N/A,Hydraulic Oil (Synthetic)
16,EPDM,A - Excellent,Hydraulic Oil (Synthetic)
17,Epoxy,A - Excellent,Hydraulic Oil (Synthetic)
18,Fluorocarbon (FKM),N/A,Hydraulic Oil (Synthetic)
19,Hastelloy-C®,A - Excellent,Hydraulic Oil (Synthetic)
20,Hypalon®,A - Excellent,Hydraulic Oil (Synthetic)
21,Hytrel®,N/A,Hydraulic Oil (Synthetic)
22,Kalrez,A - Excellent,Hydraulic Oil (Synthetic)
23,Kel-F®,N/A,Hydraulic Oil (Synthetic)
24,LDPE,A - Excellent,Hydraulic Oil (Synthetic)
25,Natural rubber,D - Poor,Hydraulic Oil (Synthetic)
26,Neoprene,A - Excellent,Hydraulic Oil (Synthetic)
27,NORYL®,N/A,Hydraulic Oil (Synthetic)
28,Nylon,A1 - Excellent,Hydraulic Oil (Synthetic)
29,Polycarbonate,N/A,Hydraulic Oil (Synthetic)
30,Polyetherether Ketone (PEEK),A - Excellent,Hydraulic Oil (Synthetic)
31,Polypropylene,D - Poor,Hydraulic Oil (Synthetic)
32,Polyurethane,N/A,Hydraulic Oil (Synthetic)
33,PPS (Ryton®),N/A,Hydraulic Oil (Synthetic)
34,PTFE,A - Excellent,Hydraulic Oil (Synthetic)
35,PVC,A - Excellent,Hydraulic Oil (Synthetic)
36,PVDF (Kynar®),A - Excellent,Hydraulic Oil (Synthetic)
37,Silicone,B - Good,Hydraulic Oil (Synthetic)
38,stainless steel - 304,A - Excellent,Hydraulic Oil (Synthetic)
39,stainless steel - 316,A - Excellent,Hydraulic Oil (Synthetic)
40,Titanium,N/A,Hydraulic Oil (Synthetic)
41,Tygon®,A - Excellent,Hydraulic Oil (Synthetic)
42,Viton®,A - Excellent,Hydraulic Oil (Synthetic)
