,material,compatibility,chemical
0,,,Hydrazine
1,ABS plastic,N/A,Hydrazine
2,Acetal (Delrin®),B - Good,Hydrazine
3,Aluminum,N/A,Hydrazine
4,Brass,N/A,Hydrazine
5,Bronze,N/A,Hydrazine
6,Buna N (Nitrile),B - Good,Hydrazine
7,Carbon graphite,N/A,Hydrazine
8,Carbon Steel,D - Poor,Hydrazine
9,Carpenter 20,D - Poor,Hydrazine
10,Cast iron,D - Poor,Hydrazine
11,Ceramic Al203,N/A,Hydrazine
12,Ceramic magnet,N/A,Hydrazine
13,ChemRaz (FFKM),B - Good,Hydrazine
14,Copper,A - Excellent,Hydrazine
15,CPVC,D - Poor,Hydrazine
16,EPDM,A - Excellent,Hydrazine
17,Epoxy,A - Excellent,Hydrazine
18,Fluorocarbon (FKM),D - Poor,Hydrazine
19,Hastelloy-C®,N/A,Hydrazine
20,Hypalon®,B - Good,Hydrazine
21,Hytrel®,C - Fair,Hydrazine
22,Kalrez,A - Excellent,Hydrazine
23,Kel-F®,N/A,Hydrazine
24,LDPE,N/A,Hydrazine
25,Natural rubber,C - Fair,Hydrazine
26,Neoprene,B - Good,Hydrazine
27,NORYL®,N/A,Hydrazine
28,Nylon,N/A,Hydrazine
29,Polycarbonate,D - Poor,Hydrazine
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrazine
31,Polypropylene,C - Fair,Hydrazine
32,Polyurethane,D - Poor,Hydrazine
33,PPS (Ryton®),N/A,Hydrazine
34,PTFE,A - Excellent,Hydrazine
35,PVC,N/A,Hydrazine
36,PVDF (Kynar®),A - Excellent,Hydrazine
37,Silicone,B - Good,Hydrazine
38,stainless steel - 304,A - Excellent,Hydrazine
39,stainless steel - 316,A - Excellent,Hydrazine
40,Titanium,N/A,Hydrazine
41,Tygon®,N/A,Hydrazine
42,Viton®,D - Poor,Hydrazine
