,material,compatibility,chemical
0,,,Hydrobromic Acid 100%
1,ABS plastic,B - Good,Hydrobromic Acid 100%
2,Acetal (Delrin®),D - Poor,Hydrobromic Acid 100%
3,Aluminum,D - Poor,Hydrobromic Acid 100%
4,Brass,D - Poor,Hydrobromic Acid 100%
5,Bronze,N/A,Hydrobromic Acid 100%
6,Buna N (Nitrile),D - Poor,Hydrobromic Acid 100%
7,Carbon graphite,A - Excellent,Hydrobromic Acid 100%
8,Carbon Steel,D - Poor,Hydrobromic Acid 100%
9,Carpenter 20,D - Poor,Hydrobromic Acid 100%
10,Cast iron,D - Poor,Hydrobromic Acid 100%
11,Ceramic Al203,N/A,Hydrobromic Acid 100%
12,Ceramic magnet,A - Excellent,Hydrobromic Acid 100%
13,ChemRaz (FFKM),A - Excellent,Hydrobromic Acid 100%
14,Copper,D - Poor,Hydrobromic Acid 100%
15,CPVC,A2 - Excellent,Hydrobromic Acid 100%
16,EPDM,A - Excellent,Hydrobromic Acid 100%
17,Epoxy,D - Poor,Hydrobromic Acid 100%
18,Fluorocarbon (FKM),A - Excellent,Hydrobromic Acid 100%
19,Hastelloy-C®,C - Fair,Hydrobromic Acid 100%
20,Hypalon®,A - Excellent,Hydrobromic Acid 100%
21,Hytrel®,N/A,Hydrobromic Acid 100%
22,Kalrez,A - Excellent,Hydrobromic Acid 100%
23,Kel-F®,A - Excellent,Hydrobromic Acid 100%
24,LDPE,B1 - Good,Hydrobromic Acid 100%
25,Natural rubber,A - Excellent,Hydrobromic Acid 100%
26,Neoprene,D - Poor,Hydrobromic Acid 100%
27,NORYL®,B - Good,Hydrobromic Acid 100%
28,Nylon,D - Poor,Hydrobromic Acid 100%
29,Polycarbonate,N/A,Hydrobromic Acid 100%
30,Polyetherether Ketone (PEEK),D - Poor,Hydrobromic Acid 100%
31,Polypropylene,C1 - Fair,Hydrobromic Acid 100%
32,Polyurethane,D - Poor,Hydrobromic Acid 100%
33,PPS (Ryton®),A1 - Excellent,Hydrobromic Acid 100%
34,PTFE,A - Excellent,Hydrobromic Acid 100%
35,PVC,A1 - Excellent,Hydrobromic Acid 100%
36,PVDF (Kynar®),A - Excellent,Hydrobromic Acid 100%
37,Silicone,D - Poor,Hydrobromic Acid 100%
38,stainless steel - 304,D - Poor,Hydrobromic Acid 100%
39,stainless steel - 316,D - Poor,Hydrobromic Acid 100%
40,Titanium,A - Excellent,Hydrobromic Acid 100%
41,Tygon®,B - Good,Hydrobromic Acid 100%
42,Viton®,A - Excellent,Hydrobromic Acid 100%
