,material,compatibility,chemical
0,,,Hydrochloric Acid 100%
1,ABS plastic,A - Excellent,Hydrochloric Acid 100%
2,Acetal (Delrin®),C - Fair,Hydrochloric Acid 100%
3,Aluminum,D - Poor,Hydrochloric Acid 100%
4,Brass,D - Poor,Hydrochloric Acid 100%
5,Bronze,D - Poor,Hydrochloric Acid 100%
6,Buna N (Nitrile),D - Poor,Hydrochloric Acid 100%
7,Carbon graphite,A - Excellent,Hydrochloric Acid 100%
8,Carbon Steel,D - Poor,Hydrochloric Acid 100%
9,Carpenter 20,D - Poor,Hydrochloric Acid 100%
10,Cast iron,D - Poor,Hydrochloric Acid 100%
11,Ceramic Al203,C - Fair,Hydrochloric Acid 100%
12,Ceramic magnet,A - Excellent,Hydrochloric Acid 100%
13,ChemRaz (FFKM),A - Excellent,Hydrochloric Acid 100%
14,Copper,D - Poor,Hydrochloric Acid 100%
15,CPVC,A - Excellent,Hydrochloric Acid 100%
16,EPDM,D - Poor,Hydrochloric Acid 100%
17,Epoxy,N/A,Hydrochloric Acid 100%
18,Fluorocarbon (FKM),B - Good,Hydrochloric Acid 100%
19,Hastelloy-C®,A - Excellent,Hydrochloric Acid 100%
20,Hypalon®,D - Poor,Hydrochloric Acid 100%
21,Hytrel®,N/A,Hydrochloric Acid 100%
22,Kalrez,A - Excellent,Hydrochloric Acid 100%
23,Kel-F®,A - Excellent,Hydrochloric Acid 100%
24,LDPE,N/A,Hydrochloric Acid 100%
25,Natural rubber,D - Poor,Hydrochloric Acid 100%
26,Neoprene,D - Poor,Hydrochloric Acid 100%
27,NORYL®,A - Excellent,Hydrochloric Acid 100%
28,Nylon,D - Poor,Hydrochloric Acid 100%
29,Polycarbonate,D - Poor,Hydrochloric Acid 100%
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrochloric Acid 100%
31,Polypropylene,B1 - Good,Hydrochloric Acid 100%
32,Polyurethane,D - Poor,Hydrochloric Acid 100%
33,PPS (Ryton®),D - Poor,Hydrochloric Acid 100%
34,PTFE,A - Excellent,Hydrochloric Acid 100%
35,PVC,D - Poor,Hydrochloric Acid 100%
36,PVDF (Kynar®),A - Excellent,Hydrochloric Acid 100%
37,Silicone,D - Poor,Hydrochloric Acid 100%
38,stainless steel - 304,D - Poor,Hydrochloric Acid 100%
39,stainless steel - 316,D - Poor,Hydrochloric Acid 100%
40,Titanium,D - Poor,Hydrochloric Acid 100%
41,Tygon®,A1 - Excellent,Hydrochloric Acid 100%
42,Viton®,A - Excellent,Hydrochloric Acid 100%
