,material,compatibility,chemical
0,,,"Hydrochloric Acid, Dry Gas"
1,ABS plastic,N/A,"Hydrochloric Acid, Dry Gas"
2,Acetal (Delrin®),N/A,"Hydrochloric Acid, Dry Gas"
3,Aluminum,D - Poor,"Hydrochloric Acid, Dry Gas"
4,Brass,D - Poor,"Hydrochloric Acid, Dry Gas"
5,Bronze,A - Excellent,"Hydrochloric Acid, Dry Gas"
6,Buna N (Nitrile),N/A,"Hydrochloric Acid, Dry Gas"
7,Carbon graphite,A - Excellent,"Hydrochloric Acid, Dry Gas"
8,Carbon Steel,N/A,"Hydrochloric Acid, Dry Gas"
9,Carpenter 20,D - Poor,"Hydrochloric Acid, Dry Gas"
10,Cast iron,N/A,"Hydrochloric Acid, Dry Gas"
11,Ceramic Al203,N/A,"Hydrochloric Acid, Dry Gas"
12,Ceramic magnet,A - Excellent,"Hydrochloric Acid, Dry Gas"
13,ChemRaz (FFKM),A - Excellent,"Hydrochloric Acid, Dry Gas"
14,Copper,D - Poor,"Hydrochloric Acid, Dry Gas"
15,CPVC,A - Excellent,"Hydrochloric Acid, Dry Gas"
16,EPDM,N/A,"Hydrochloric Acid, Dry Gas"
17,Epoxy,A - Excellent,"Hydrochloric Acid, Dry Gas"
18,Fluorocarbon (FKM),B - Good,"Hydrochloric Acid, Dry Gas"
19,Hastelloy-C®,A - Excellent,"Hydrochloric Acid, Dry Gas"
20,Hypalon®,N/A,"Hydrochloric Acid, Dry Gas"
21,Hytrel®,N/A,"Hydrochloric Acid, Dry Gas"
22,Kalrez,A - Excellent,"Hydrochloric Acid, Dry Gas"
23,Kel-F®,A - Excellent,"Hydrochloric Acid, Dry Gas"
24,LDPE,A2 - Excellent,"Hydrochloric Acid, Dry Gas"
25,Natural rubber,N/A,"Hydrochloric Acid, Dry Gas"
26,Neoprene,N/A,"Hydrochloric Acid, Dry Gas"
27,NORYL®,A - Excellent,"Hydrochloric Acid, Dry Gas"
28,Nylon,A1 - Excellent,"Hydrochloric Acid, Dry Gas"
29,Polycarbonate,N/A,"Hydrochloric Acid, Dry Gas"
30,Polyetherether Ketone (PEEK),A - Excellent,"Hydrochloric Acid, Dry Gas"
31,Polypropylene,B - Good,"Hydrochloric Acid, Dry Gas"
32,Polyurethane,N/A,"Hydrochloric Acid, Dry Gas"
33,PPS (Ryton®),A - Excellent,"Hydrochloric Acid, Dry Gas"
34,PTFE,A - Excellent,"Hydrochloric Acid, Dry Gas"
35,PVC,A2 - Excellent,"Hydrochloric Acid, Dry Gas"
36,PVDF (Kynar®),A - Excellent,"Hydrochloric Acid, Dry Gas"
37,Silicone,N/A,"Hydrochloric Acid, Dry Gas"
38,stainless steel - 304,D - Poor,"Hydrochloric Acid, Dry Gas"
39,stainless steel - 316,D - Poor,"Hydrochloric Acid, Dry Gas"
40,Titanium,C - Fair,"Hydrochloric Acid, Dry Gas"
41,Tygon®,N/A,"Hydrochloric Acid, Dry Gas"
42,Viton®,N/A,"Hydrochloric Acid, Dry Gas"
