,material,compatibility,chemical
0,,,Hydrocyanic Acid (Gas 10%)
1,ABS plastic,N/A,Hydrocyanic Acid (Gas 10%)
2,Acetal (Delrin®),C - Fair,Hydrocyanic Acid (Gas 10%)
3,Aluminum,N/A,Hydrocyanic Acid (Gas 10%)
4,Brass,N/A,Hydrocyanic Acid (Gas 10%)
5,Bronze,N/A,Hydrocyanic Acid (Gas 10%)
6,Buna N (Nitrile),B - Good,Hydrocyanic Acid (Gas 10%)
7,Carbon graphite,N/A,Hydrocyanic Acid (Gas 10%)
8,Carbon Steel,N/A,Hydrocyanic Acid (Gas 10%)
9,Carpenter 20,D - Poor,Hydrocyanic Acid (Gas 10%)
10,Cast iron,N/A,Hydrocyanic Acid (Gas 10%)
11,Ceramic Al203,N/A,Hydrocyanic Acid (Gas 10%)
12,Ceramic magnet,N/A,Hydrocyanic Acid (Gas 10%)
13,ChemRaz (FFKM),A - Excellent,Hydrocyanic Acid (Gas 10%)
14,Copper,N/A,Hydrocyanic Acid (Gas 10%)
15,CPVC,A - Excellent,Hydrocyanic Acid (Gas 10%)
16,EPDM,A - Excellent,Hydrocyanic Acid (Gas 10%)
17,Epoxy,N/A,Hydrocyanic Acid (Gas 10%)
18,Fluorocarbon (FKM),A - Excellent,Hydrocyanic Acid (Gas 10%)
19,Hastelloy-C®,N/A,Hydrocyanic Acid (Gas 10%)
20,Hypalon®,N/A,Hydrocyanic Acid (Gas 10%)
21,Hytrel®,N/A,Hydrocyanic Acid (Gas 10%)
22,Kalrez,A - Excellent,Hydrocyanic Acid (Gas 10%)
23,Kel-F®,N/A,Hydrocyanic Acid (Gas 10%)
24,LDPE,N/A,Hydrocyanic Acid (Gas 10%)
25,Natural rubber,B - Good,Hydrocyanic Acid (Gas 10%)
26,Neoprene,A - Excellent,Hydrocyanic Acid (Gas 10%)
27,NORYL®,C - Fair,Hydrocyanic Acid (Gas 10%)
28,Nylon,N/A,Hydrocyanic Acid (Gas 10%)
29,Polycarbonate,B1 - Good,Hydrocyanic Acid (Gas 10%)
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrocyanic Acid (Gas 10%)
31,Polypropylene,A - Excellent,Hydrocyanic Acid (Gas 10%)
32,Polyurethane,N/A,Hydrocyanic Acid (Gas 10%)
33,PPS (Ryton®),N/A,Hydrocyanic Acid (Gas 10%)
34,PTFE,A - Excellent,Hydrocyanic Acid (Gas 10%)
35,PVC,A - Excellent,Hydrocyanic Acid (Gas 10%)
36,PVDF (Kynar®),N/A,Hydrocyanic Acid (Gas 10%)
37,Silicone,D - Poor,Hydrocyanic Acid (Gas 10%)
38,stainless steel - 304,N/A,Hydrocyanic Acid (Gas 10%)
39,stainless steel - 316,N/A,Hydrocyanic Acid (Gas 10%)
40,Titanium,A - Excellent,Hydrocyanic Acid (Gas 10%)
41,Tygon®,N/A,Hydrocyanic Acid (Gas 10%)
42,Viton®,A - Excellent,Hydrocyanic Acid (Gas 10%)
