,material,compatibility,chemical
0,,,Hydrocyanic Acid
1,ABS plastic,B - Good,Hydrocyanic Acid
2,Acetal (Delrin®),B - Good,Hydrocyanic Acid
3,Aluminum,A - Excellent,Hydrocyanic Acid
4,Brass,D - Poor,Hydrocyanic Acid
5,Bronze,A - Excellent,Hydrocyanic Acid
6,Buna N (Nitrile),B - Good,Hydrocyanic Acid
7,Carbon graphite,A - Excellent,Hydrocyanic Acid
8,Carbon Steel,B - Good,Hydrocyanic Acid
9,Carpenter 20,D - Poor,Hydrocyanic Acid
10,Cast iron,D - Poor,Hydrocyanic Acid
11,Ceramic Al203,N/A,Hydrocyanic Acid
12,Ceramic magnet,N/A,Hydrocyanic Acid
13,ChemRaz (FFKM),A - Excellent,Hydrocyanic Acid
14,Copper,D - Poor,Hydrocyanic Acid
15,CPVC,A - Excellent,Hydrocyanic Acid
16,EPDM,B - Good,Hydrocyanic Acid
17,Epoxy,A - Excellent,Hydrocyanic Acid
18,Fluorocarbon (FKM),A - Excellent,Hydrocyanic Acid
19,Hastelloy-C®,A - Excellent,Hydrocyanic Acid
20,Hypalon®,A - Excellent,Hydrocyanic Acid
21,Hytrel®,C - Fair,Hydrocyanic Acid
22,Kalrez,A - Excellent,Hydrocyanic Acid
23,Kel-F®,N/A,Hydrocyanic Acid
24,LDPE,A2 - Excellent,Hydrocyanic Acid
25,Natural rubber,B - Good,Hydrocyanic Acid
26,Neoprene,B - Good,Hydrocyanic Acid
27,NORYL®,A1 - Excellent,Hydrocyanic Acid
28,Nylon,B - Good,Hydrocyanic Acid
29,Polycarbonate,N/A,Hydrocyanic Acid
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrocyanic Acid
31,Polypropylene,A - Excellent,Hydrocyanic Acid
32,Polyurethane,D - Poor,Hydrocyanic Acid
33,PPS (Ryton®),B - Good,Hydrocyanic Acid
34,PTFE,A - Excellent,Hydrocyanic Acid
35,PVC,B - Good,Hydrocyanic Acid
36,PVDF (Kynar®),A - Excellent,Hydrocyanic Acid
37,Silicone,C - Fair,Hydrocyanic Acid
38,stainless steel - 304,B1 - Good,Hydrocyanic Acid
39,stainless steel - 316,A - Excellent,Hydrocyanic Acid
40,Titanium,B - Good,Hydrocyanic Acid
41,Tygon®,B - Good,Hydrocyanic Acid
42,Viton®,A - Excellent,Hydrocyanic Acid
