,material,compatibility,chemical
0,,,Hydrofluoric Acid 100%
1,ABS plastic,D - Poor,Hydrofluoric Acid 100%
2,Acetal (Delrin®),D - Poor,Hydrofluoric Acid 100%
3,Aluminum,D - Poor,Hydrofluoric Acid 100%
4,Brass,N/A,Hydrofluoric Acid 100%
5,Bronze,B1 - Good,Hydrofluoric Acid 100%
6,Buna N (Nitrile),D - Poor,Hydrofluoric Acid 100%
7,Carbon graphite,N/A,Hydrofluoric Acid 100%
8,Carbon Steel,D - Poor,Hydrofluoric Acid 100%
9,Carpenter 20,D - Poor,Hydrofluoric Acid 100%
10,Cast iron,D - Poor,Hydrofluoric Acid 100%
11,Ceramic Al203,N/A,Hydrofluoric Acid 100%
12,Ceramic magnet,B - Good,Hydrofluoric Acid 100%
13,ChemRaz (FFKM),A - Excellent,Hydrofluoric Acid 100%
14,Copper,B - Good,Hydrofluoric Acid 100%
15,CPVC,C1 - Fair,Hydrofluoric Acid 100%
16,EPDM,D - Poor,Hydrofluoric Acid 100%
17,Epoxy,N/A,Hydrofluoric Acid 100%
18,Fluorocarbon (FKM),B - Good,Hydrofluoric Acid 100%
19,Hastelloy-C®,B - Good,Hydrofluoric Acid 100%
20,Hypalon®,B - Good,Hydrofluoric Acid 100%
21,Hytrel®,D - Poor,Hydrofluoric Acid 100%
22,Kalrez,A - Excellent,Hydrofluoric Acid 100%
23,Kel-F®,A - Excellent,Hydrofluoric Acid 100%
24,LDPE,N/A,Hydrofluoric Acid 100%
25,Natural rubber,D - Poor,Hydrofluoric Acid 100%
26,Neoprene,D - Poor,Hydrofluoric Acid 100%
27,NORYL®,D - Poor,Hydrofluoric Acid 100%
28,Nylon,D - Poor,Hydrofluoric Acid 100%
29,Polycarbonate,D - Poor,Hydrofluoric Acid 100%
30,Polyetherether Ketone (PEEK),D - Poor,Hydrofluoric Acid 100%
31,Polypropylene,C1 - Fair,Hydrofluoric Acid 100%
32,Polyurethane,D - Poor,Hydrofluoric Acid 100%
33,PPS (Ryton®),D - Poor,Hydrofluoric Acid 100%
34,PTFE,A - Excellent,Hydrofluoric Acid 100%
35,PVC,C - Fair,Hydrofluoric Acid 100%
36,PVDF (Kynar®),A - Excellent,Hydrofluoric Acid 100%
37,Silicone,D - Poor,Hydrofluoric Acid 100%
38,stainless steel - 304,B1 - Good,Hydrofluoric Acid 100%
39,stainless steel - 316,B1 - Good,Hydrofluoric Acid 100%
40,Titanium,D - Poor,Hydrofluoric Acid 100%
41,Tygon®,D - Poor,Hydrofluoric Acid 100%
42,Viton®,B - Good,Hydrofluoric Acid 100%
