,material,compatibility,chemical
0,,,Hydrogen Gas
1,ABS plastic,N/A,Hydrogen Gas
2,Acetal (Delrin®),N/A,Hydrogen Gas
3,Aluminum,A - Excellent,Hydrogen Gas
4,Brass,N/A,Hydrogen Gas
5,Bronze,A - Excellent,Hydrogen Gas
6,Buna N (Nitrile),A - Excellent,Hydrogen Gas
7,Carbon graphite,A - Excellent,Hydrogen Gas
8,Carbon Steel,A - Excellent,Hydrogen Gas
9,Carpenter 20,A - Excellent,Hydrogen Gas
10,Cast iron,N/A,Hydrogen Gas
11,Ceramic Al203,N/A,Hydrogen Gas
12,Ceramic magnet,N/A,Hydrogen Gas
13,ChemRaz (FFKM),A - Excellent,Hydrogen Gas
14,Copper,A - Excellent,Hydrogen Gas
15,CPVC,A2 - Excellent,Hydrogen Gas
16,EPDM,A - Excellent,Hydrogen Gas
17,Epoxy,N/A,Hydrogen Gas
18,Fluorocarbon (FKM),A - Excellent,Hydrogen Gas
19,Hastelloy-C®,A - Excellent,Hydrogen Gas
20,Hypalon®,A - Excellent,Hydrogen Gas
21,Hytrel®,A - Excellent,Hydrogen Gas
22,Kalrez,A - Excellent,Hydrogen Gas
23,Kel-F®,B - Good,Hydrogen Gas
24,LDPE,A2 - Excellent,Hydrogen Gas
25,Natural rubber,B - Good,Hydrogen Gas
26,Neoprene,A - Excellent,Hydrogen Gas
27,NORYL®,A1 - Excellent,Hydrogen Gas
28,Nylon,A2 - Excellent,Hydrogen Gas
29,Polycarbonate,A2 - Excellent,Hydrogen Gas
30,Polyetherether Ketone (PEEK),N/A,Hydrogen Gas
31,Polypropylene,A - Excellent,Hydrogen Gas
32,Polyurethane,A - Excellent,Hydrogen Gas
33,PPS (Ryton®),A - Excellent,Hydrogen Gas
34,PTFE,A - Excellent,Hydrogen Gas
35,PVC,A2 - Excellent,Hydrogen Gas
36,PVDF (Kynar®),A - Excellent,Hydrogen Gas
37,Silicone,C - Fair,Hydrogen Gas
38,stainless steel - 304,A - Excellent,Hydrogen Gas
39,stainless steel - 316,A - Excellent,Hydrogen Gas
40,Titanium,A - Excellent,Hydrogen Gas
41,Tygon®,A - Excellent,Hydrogen Gas
42,Viton®,A - Excellent,Hydrogen Gas
