,material,compatibility,chemical
0,,,Hydrogen Peroxide 100%
1,ABS plastic,A - Excellent,Hydrogen Peroxide 100%
2,Acetal (Delrin®),D - Poor,Hydrogen Peroxide 100%
3,Aluminum,A - Excellent,Hydrogen Peroxide 100%
4,Brass,D - Poor,Hydrogen Peroxide 100%
5,Bronze,B1 - Good,Hydrogen Peroxide 100%
6,Buna N (Nitrile),D - Poor,Hydrogen Peroxide 100%
7,Carbon graphite,C - Fair,Hydrogen Peroxide 100%
8,Carbon Steel,D - Poor,Hydrogen Peroxide 100%
9,Carpenter 20,D - Poor,Hydrogen Peroxide 100%
10,Cast iron,B - Good,Hydrogen Peroxide 100%
11,Ceramic Al203,A - Excellent,Hydrogen Peroxide 100%
12,Ceramic magnet,A - Excellent,Hydrogen Peroxide 100%
13,ChemRaz (FFKM),B - Good,Hydrogen Peroxide 100%
14,Copper,D - Poor,Hydrogen Peroxide 100%
15,CPVC,A - Excellent,Hydrogen Peroxide 100%
16,EPDM,D - Poor,Hydrogen Peroxide 100%
17,Epoxy,A - Excellent,Hydrogen Peroxide 100%
18,Fluorocarbon (FKM),A - Excellent,Hydrogen Peroxide 100%
19,Hastelloy-C®,A - Excellent,Hydrogen Peroxide 100%
20,Hypalon®,D - Poor,Hydrogen Peroxide 100%
21,Hytrel®,N/A,Hydrogen Peroxide 100%
22,Kalrez,A - Excellent,Hydrogen Peroxide 100%
23,Kel-F®,B - Good,Hydrogen Peroxide 100%
24,LDPE,C2 - Fair,Hydrogen Peroxide 100%
25,Natural rubber,C - Fair,Hydrogen Peroxide 100%
26,Neoprene,D - Poor,Hydrogen Peroxide 100%
27,NORYL®,A - Excellent,Hydrogen Peroxide 100%
28,Nylon,D - Poor,Hydrogen Peroxide 100%
29,Polycarbonate,A - Excellent,Hydrogen Peroxide 100%
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrogen Peroxide 100%
31,Polypropylene,B1 - Good,Hydrogen Peroxide 100%
32,Polyurethane,D - Poor,Hydrogen Peroxide 100%
33,PPS (Ryton®),C - Fair,Hydrogen Peroxide 100%
34,PTFE,A - Excellent,Hydrogen Peroxide 100%
35,PVC,A - Excellent,Hydrogen Peroxide 100%
36,PVDF (Kynar®),A1 - Excellent,Hydrogen Peroxide 100%
37,Silicone,B - Good,Hydrogen Peroxide 100%
38,stainless steel - 304,B2 - Good,Hydrogen Peroxide 100%
39,stainless steel - 316,A2 - Excellent,Hydrogen Peroxide 100%
40,Titanium,B - Good,Hydrogen Peroxide 100%
41,Tygon®,B - Good,Hydrogen Peroxide 100%
42,Viton®,A - Excellent,Hydrogen Peroxide 100%
