,material,compatibility,chemical
0,,,Hydrogen Sulfide (aqua)
1,ABS plastic,B - Good,Hydrogen Sulfide (aqua)
2,Acetal (Delrin®),C - Fair,Hydrogen Sulfide (aqua)
3,Aluminum,B - Good,Hydrogen Sulfide (aqua)
4,Brass,N/A,Hydrogen Sulfide (aqua)
5,Bronze,A - Excellent,Hydrogen Sulfide (aqua)
6,Buna N (Nitrile),D - Poor,Hydrogen Sulfide (aqua)
7,Carbon graphite,A - Excellent,Hydrogen Sulfide (aqua)
8,Carbon Steel,D - Poor,Hydrogen Sulfide (aqua)
9,Carpenter 20,D - Poor,Hydrogen Sulfide (aqua)
10,Cast iron,D - Poor,Hydrogen Sulfide (aqua)
11,Ceramic Al203,A - Excellent,Hydrogen Sulfide (aqua)
12,Ceramic magnet,A - Excellent,Hydrogen Sulfide (aqua)
13,ChemRaz (FFKM),A - Excellent,Hydrogen Sulfide (aqua)
14,Copper,N/A,Hydrogen Sulfide (aqua)
15,CPVC,A - Excellent,Hydrogen Sulfide (aqua)
16,EPDM,B - Good,Hydrogen Sulfide (aqua)
17,Epoxy,A - Excellent,Hydrogen Sulfide (aqua)
18,Fluorocarbon (FKM),D - Poor,Hydrogen Sulfide (aqua)
19,Hastelloy-C®,A - Excellent,Hydrogen Sulfide (aqua)
20,Hypalon®,D - Poor,Hydrogen Sulfide (aqua)
21,Hytrel®,N/A,Hydrogen Sulfide (aqua)
22,Kalrez,A - Excellent,Hydrogen Sulfide (aqua)
23,Kel-F®,A1 - Excellent,Hydrogen Sulfide (aqua)
24,LDPE,A - Excellent,Hydrogen Sulfide (aqua)
25,Natural rubber,C - Fair,Hydrogen Sulfide (aqua)
26,Neoprene,A - Excellent,Hydrogen Sulfide (aqua)
27,NORYL®,A1 - Excellent,Hydrogen Sulfide (aqua)
28,Nylon,C1 - Fair,Hydrogen Sulfide (aqua)
29,Polycarbonate,A - Excellent,Hydrogen Sulfide (aqua)
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrogen Sulfide (aqua)
31,Polypropylene,A1 - Excellent,Hydrogen Sulfide (aqua)
32,Polyurethane,D - Poor,Hydrogen Sulfide (aqua)
33,PPS (Ryton®),A - Excellent,Hydrogen Sulfide (aqua)
34,PTFE,A - Excellent,Hydrogen Sulfide (aqua)
35,PVC,B1 - Good,Hydrogen Sulfide (aqua)
36,PVDF (Kynar®),A - Excellent,Hydrogen Sulfide (aqua)
37,Silicone,C - Fair,Hydrogen Sulfide (aqua)
38,stainless steel - 304,C - Fair,Hydrogen Sulfide (aqua)
39,stainless steel - 316,A - Excellent,Hydrogen Sulfide (aqua)
40,Titanium,B - Good,Hydrogen Sulfide (aqua)
41,Tygon®,A - Excellent,Hydrogen Sulfide (aqua)
42,Viton®,D - Poor,Hydrogen Sulfide (aqua)
