,material,compatibility,chemical
0,,,Hydrogen Sulfide (dry)
1,ABS plastic,N/A,Hydrogen Sulfide (dry)
2,Acetal (Delrin®),N/A,Hydrogen Sulfide (dry)
3,Aluminum,B - Good,Hydrogen Sulfide (dry)
4,Brass,D - Poor,Hydrogen Sulfide (dry)
5,Bronze,B - Good,Hydrogen Sulfide (dry)
6,Buna N (Nitrile),D - Poor,Hydrogen Sulfide (dry)
7,Carbon graphite,A - Excellent,Hydrogen Sulfide (dry)
8,Carbon Steel,D - Poor,Hydrogen Sulfide (dry)
9,Carpenter 20,D - Poor,Hydrogen Sulfide (dry)
10,Cast iron,D - Poor,Hydrogen Sulfide (dry)
11,Ceramic Al203,N/A,Hydrogen Sulfide (dry)
12,Ceramic magnet,N/A,Hydrogen Sulfide (dry)
13,ChemRaz (FFKM),A - Excellent,Hydrogen Sulfide (dry)
14,Copper,D - Poor,Hydrogen Sulfide (dry)
15,CPVC,A - Excellent,Hydrogen Sulfide (dry)
16,EPDM,B - Good,Hydrogen Sulfide (dry)
17,Epoxy,A - Excellent,Hydrogen Sulfide (dry)
18,Fluorocarbon (FKM),D - Poor,Hydrogen Sulfide (dry)
19,Hastelloy-C®,A - Excellent,Hydrogen Sulfide (dry)
20,Hypalon®,B - Good,Hydrogen Sulfide (dry)
21,Hytrel®,A - Excellent,Hydrogen Sulfide (dry)
22,Kalrez,A - Excellent,Hydrogen Sulfide (dry)
23,Kel-F®,B - Good,Hydrogen Sulfide (dry)
24,LDPE,A - Excellent,Hydrogen Sulfide (dry)
25,Natural rubber,C - Fair,Hydrogen Sulfide (dry)
26,Neoprene,A - Excellent,Hydrogen Sulfide (dry)
27,NORYL®,N/A,Hydrogen Sulfide (dry)
28,Nylon,C1 - Fair,Hydrogen Sulfide (dry)
29,Polycarbonate,N/A,Hydrogen Sulfide (dry)
30,Polyetherether Ketone (PEEK),A - Excellent,Hydrogen Sulfide (dry)
31,Polypropylene,A1 - Excellent,Hydrogen Sulfide (dry)
32,Polyurethane,A - Excellent,Hydrogen Sulfide (dry)
33,PPS (Ryton®),A - Excellent,Hydrogen Sulfide (dry)
34,PTFE,A - Excellent,Hydrogen Sulfide (dry)
35,PVC,A2 - Excellent,Hydrogen Sulfide (dry)
36,PVDF (Kynar®),A - Excellent,Hydrogen Sulfide (dry)
37,Silicone,C - Fair,Hydrogen Sulfide (dry)
38,stainless steel - 304,C1 - Fair,Hydrogen Sulfide (dry)
39,stainless steel - 316,A - Excellent,Hydrogen Sulfide (dry)
40,Titanium,A - Excellent,Hydrogen Sulfide (dry)
41,Tygon®,D - Poor,Hydrogen Sulfide (dry)
42,Viton®,D - Poor,Hydrogen Sulfide (dry)
