,material,compatibility,chemical
0,,,Hydroxyacetic Acid 70%
1,ABS plastic,N/A,Hydroxyacetic Acid 70%
2,Acetal (Delrin®),A - Excellent,Hydroxyacetic Acid 70%
3,Aluminum,N/A,Hydroxyacetic Acid 70%
4,Brass,N/A,Hydroxyacetic Acid 70%
5,Bronze,N/A,Hydroxyacetic Acid 70%
6,Buna N (Nitrile),A - Excellent,Hydroxyacetic Acid 70%
7,Carbon graphite,N/A,Hydroxyacetic Acid 70%
8,Carbon Steel,N/A,Hydroxyacetic Acid 70%
9,Carpenter 20,D - Poor,Hydroxyacetic Acid 70%
10,Cast iron,B - Good,Hydroxyacetic Acid 70%
11,Ceramic Al203,N/A,Hydroxyacetic Acid 70%
12,Ceramic magnet,N/A,Hydroxyacetic Acid 70%
13,ChemRaz (FFKM),A - Excellent,Hydroxyacetic Acid 70%
14,Copper,N/A,Hydroxyacetic Acid 70%
15,CPVC,A - Excellent,Hydroxyacetic Acid 70%
16,EPDM,A - Excellent,Hydroxyacetic Acid 70%
17,Epoxy,A - Excellent,Hydroxyacetic Acid 70%
18,Fluorocarbon (FKM),A - Excellent,Hydroxyacetic Acid 70%
19,Hastelloy-C®,N/A,Hydroxyacetic Acid 70%
20,Hypalon®,N/A,Hydroxyacetic Acid 70%
21,Hytrel®,N/A,Hydroxyacetic Acid 70%
22,Kalrez,A - Excellent,Hydroxyacetic Acid 70%
23,Kel-F®,N/A,Hydroxyacetic Acid 70%
24,LDPE,A - Excellent,Hydroxyacetic Acid 70%
25,Natural rubber,N/A,Hydroxyacetic Acid 70%
26,Neoprene,A - Excellent,Hydroxyacetic Acid 70%
27,NORYL®,N/A,Hydroxyacetic Acid 70%
28,Nylon,N/A,Hydroxyacetic Acid 70%
29,Polycarbonate,N/A,Hydroxyacetic Acid 70%
30,Polyetherether Ketone (PEEK),N/A,Hydroxyacetic Acid 70%
31,Polypropylene,N/A,Hydroxyacetic Acid 70%
32,Polyurethane,D - Poor,Hydroxyacetic Acid 70%
33,PPS (Ryton®),N/A,Hydroxyacetic Acid 70%
34,PTFE,A - Excellent,Hydroxyacetic Acid 70%
35,PVC,D - Poor,Hydroxyacetic Acid 70%
36,PVDF (Kynar®),A - Excellent,Hydroxyacetic Acid 70%
37,Silicone,N/A,Hydroxyacetic Acid 70%
38,stainless steel - 304,N/A,Hydroxyacetic Acid 70%
39,stainless steel - 316,N/A,Hydroxyacetic Acid 70%
40,Titanium,A - Excellent,Hydroxyacetic Acid 70%
41,Tygon®,N/A,Hydroxyacetic Acid 70%
42,Viton®,A - Excellent,Hydroxyacetic Acid 70%
