,material,compatibility,chemical
0,,,Iodine (in alcohol)
1,ABS plastic,N/A,Iodine (in alcohol)
2,Acetal (Delrin®),D - Poor,Iodine (in alcohol)
3,Aluminum,B - Good,Iodine (in alcohol)
4,Brass,N/A,Iodine (in alcohol)
5,Bronze,B - Good,Iodine (in alcohol)
6,Buna N (Nitrile),N/A,Iodine (in alcohol)
7,Carbon graphite,N/A,Iodine (in alcohol)
8,Carbon Steel,N/A,Iodine (in alcohol)
9,Carpenter 20,N/A,Iodine (in alcohol)
10,Cast iron,N/A,Iodine (in alcohol)
11,Ceramic Al203,N/A,Iodine (in alcohol)
12,Ceramic magnet,N/A,Iodine (in alcohol)
13,ChemRaz (FFKM),N/A,Iodine (in alcohol)
14,Copper,N/A,Iodine (in alcohol)
15,CPVC,N/A,Iodine (in alcohol)
16,EPDM,A - Excellent,Iodine (in alcohol)
17,Epoxy,N/A,Iodine (in alcohol)
18,Fluorocarbon (FKM),N/A,Iodine (in alcohol)
19,Hastelloy-C®,B - Good,Iodine (in alcohol)
20,Hypalon®,N/A,Iodine (in alcohol)
21,Hytrel®,N/A,Iodine (in alcohol)
22,Kalrez,N/A,Iodine (in alcohol)
23,Kel-F®,N/A,Iodine (in alcohol)
24,LDPE,B - Good,Iodine (in alcohol)
25,Natural rubber,N/A,Iodine (in alcohol)
26,Neoprene,N/A,Iodine (in alcohol)
27,NORYL®,N/A,Iodine (in alcohol)
28,Nylon,C - Fair,Iodine (in alcohol)
29,Polycarbonate,N/A,Iodine (in alcohol)
30,Polyetherether Ketone (PEEK),A - Excellent,Iodine (in alcohol)
31,Polypropylene,N/A,Iodine (in alcohol)
32,Polyurethane,N/A,Iodine (in alcohol)
33,PPS (Ryton®),N/A,Iodine (in alcohol)
34,PTFE,N/A,Iodine (in alcohol)
35,PVC,A - Excellent,Iodine (in alcohol)
36,PVDF (Kynar®),A - Excellent,Iodine (in alcohol)
37,Silicone,N/A,Iodine (in alcohol)
38,stainless steel - 304,N/A,Iodine (in alcohol)
39,stainless steel - 316,N/A,Iodine (in alcohol)
40,Titanium,B - Good,Iodine (in alcohol)
41,Tygon®,N/A,Iodine (in alcohol)
42,Viton®,N/A,Iodine (in alcohol)
