,material,compatibility,chemical
0,,,Iodoform
1,ABS plastic,N/A,Iodoform
2,Acetal (Delrin®),N/A,Iodoform
3,Aluminum,N/A,Iodoform
4,Brass,N/A,Iodoform
5,Bronze,N/A,Iodoform
6,Buna N (Nitrile),D - Poor,Iodoform
7,Carbon graphite,N/A,Iodoform
8,Carbon Steel,N/A,Iodoform
9,Carpenter 20,A - Excellent,Iodoform
10,Cast iron,N/A,Iodoform
11,Ceramic Al203,N/A,Iodoform
12,Ceramic magnet,N/A,Iodoform
13,ChemRaz (FFKM),N/A,Iodoform
14,Copper,B - Good,Iodoform
15,CPVC,N/A,Iodoform
16,EPDM,A - Excellent,Iodoform
17,Epoxy,N/A,Iodoform
18,Fluorocarbon (FKM),N/A,Iodoform
19,Hastelloy-C®,D - Poor,Iodoform
20,Hypalon®,N/A,Iodoform
21,Hytrel®,N/A,Iodoform
22,Kalrez,N/A,Iodoform
23,Kel-F®,N/A,Iodoform
24,LDPE,N/A,Iodoform
25,Natural rubber,B - Good,Iodoform
26,Neoprene,A - Excellent,Iodoform
27,NORYL®,N/A,Iodoform
28,Nylon,N/A,Iodoform
29,Polycarbonate,N/A,Iodoform
30,Polyetherether Ketone (PEEK),N/A,Iodoform
31,Polypropylene,N/A,Iodoform
32,Polyurethane,N/A,Iodoform
33,PPS (Ryton®),N/A,Iodoform
34,PTFE,C - Fair,Iodoform
35,PVC,A - Excellent,Iodoform
36,PVDF (Kynar®),C - Fair,Iodoform
37,Silicone,N/A,Iodoform
38,stainless steel - 304,A - Excellent,Iodoform
39,stainless steel - 316,A - Excellent,Iodoform
40,Titanium,B - Good,Iodoform
41,Tygon®,C - Fair,Iodoform
42,Viton®,N/A,Iodoform
