,material,compatibility,chemical
0,,,Isooctane
1,ABS plastic,N/A,Isooctane
2,Acetal (Delrin®),N/A,Isooctane
3,Aluminum,A1 - Excellent,Isooctane
4,Brass,A - Excellent,Isooctane
5,Bronze,A1 - Excellent,Isooctane
6,Buna N (Nitrile),A2 - Excellent,Isooctane
7,Carbon graphite,A2 - Excellent,Isooctane
8,Carbon Steel,A - Excellent,Isooctane
9,Carpenter 20,N/A,Isooctane
10,Cast iron,N/A,Isooctane
11,Ceramic Al203,N/A,Isooctane
12,Ceramic magnet,N/A,Isooctane
13,ChemRaz (FFKM),A - Excellent,Isooctane
14,Copper,N/A,Isooctane
15,CPVC,N/A,Isooctane
16,EPDM,D - Poor,Isooctane
17,Epoxy,A2 - Excellent,Isooctane
18,Fluorocarbon (FKM),A - Excellent,Isooctane
19,Hastelloy-C®,N/A,Isooctane
20,Hypalon®,N/A,Isooctane
21,Hytrel®,A - Excellent,Isooctane
22,Kalrez,A - Excellent,Isooctane
23,Kel-F®,A1 - Excellent,Isooctane
24,LDPE,B - Good,Isooctane
25,Natural rubber,A1 - Excellent,Isooctane
26,Neoprene,B1 - Good,Isooctane
27,NORYL®,D - Poor,Isooctane
28,Nylon,A1 - Excellent,Isooctane
29,Polycarbonate,B1 - Good,Isooctane
30,Polyetherether Ketone (PEEK),A - Excellent,Isooctane
31,Polypropylene,A2 - Excellent,Isooctane
32,Polyurethane,B - Good,Isooctane
33,PPS (Ryton®),A - Excellent,Isooctane
34,PTFE,A - Excellent,Isooctane
35,PVC,A1 - Excellent,Isooctane
36,PVDF (Kynar®),A2 - Excellent,Isooctane
37,Silicone,D - Poor,Isooctane
38,stainless steel - 304,A1 - Excellent,Isooctane
39,stainless steel - 316,A1 - Excellent,Isooctane
40,Titanium,N/A,Isooctane
41,Tygon®,A1 - Excellent,Isooctane
42,Viton®,A1 - Excellent,Isooctane
