,material,compatibility,chemical
0,,,Isopropyl Ether
1,ABS plastic,N/A,Isopropyl Ether
2,Acetal (Delrin®),D - Poor,Isopropyl Ether
3,Aluminum,A - Excellent,Isopropyl Ether
4,Brass,A - Excellent,Isopropyl Ether
5,Bronze,A - Excellent,Isopropyl Ether
6,Buna N (Nitrile),B - Good,Isopropyl Ether
7,Carbon graphite,A - Excellent,Isopropyl Ether
8,Carbon Steel,A - Excellent,Isopropyl Ether
9,Carpenter 20,A - Excellent,Isopropyl Ether
10,Cast iron,N/A,Isopropyl Ether
11,Ceramic Al203,N/A,Isopropyl Ether
12,Ceramic magnet,N/A,Isopropyl Ether
13,ChemRaz (FFKM),A - Excellent,Isopropyl Ether
14,Copper,B - Good,Isopropyl Ether
15,CPVC,N/A,Isopropyl Ether
16,EPDM,D - Poor,Isopropyl Ether
17,Epoxy,D - Poor,Isopropyl Ether
18,Fluorocarbon (FKM),D - Poor,Isopropyl Ether
19,Hastelloy-C®,A - Excellent,Isopropyl Ether
20,Hypalon®,C - Fair,Isopropyl Ether
21,Hytrel®,N/A,Isopropyl Ether
22,Kalrez,A - Excellent,Isopropyl Ether
23,Kel-F®,A - Excellent,Isopropyl Ether
24,LDPE,B - Good,Isopropyl Ether
25,Natural rubber,A - Excellent,Isopropyl Ether
26,Neoprene,D - Poor,Isopropyl Ether
27,NORYL®,N/A,Isopropyl Ether
28,Nylon,A1 - Excellent,Isopropyl Ether
29,Polycarbonate,D - Poor,Isopropyl Ether
30,Polyetherether Ketone (PEEK),A - Excellent,Isopropyl Ether
31,Polypropylene,B - Good,Isopropyl Ether
32,Polyurethane,B - Good,Isopropyl Ether
33,PPS (Ryton®),N/A,Isopropyl Ether
34,PTFE,A1 - Excellent,Isopropyl Ether
35,PVC,B - Good,Isopropyl Ether
36,PVDF (Kynar®),D - Poor,Isopropyl Ether
37,Silicone,D - Poor,Isopropyl Ether
38,stainless steel - 304,A - Excellent,Isopropyl Ether
39,stainless steel - 316,A - Excellent,Isopropyl Ether
40,Titanium,N/A,Isopropyl Ether
41,Tygon®,A - Excellent,Isopropyl Ether
42,Viton®,D - Poor,Isopropyl Ether
