,material,compatibility,chemical
0,,,"Jet Fuel (JP3, JP4, JP5)"
1,ABS plastic,N/A,"Jet Fuel (JP3, JP4, JP5)"
2,Acetal (Delrin®),A1 - Excellent,"Jet Fuel (JP3, JP4, JP5)"
3,Aluminum,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
4,Brass,N/A,"Jet Fuel (JP3, JP4, JP5)"
5,Bronze,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
6,Buna N (Nitrile),A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
7,Carbon graphite,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
8,Carbon Steel,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
9,Carpenter 20,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
10,Cast iron,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
11,Ceramic Al203,N/A,"Jet Fuel (JP3, JP4, JP5)"
12,Ceramic magnet,N/A,"Jet Fuel (JP3, JP4, JP5)"
13,ChemRaz (FFKM),A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
14,Copper,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
15,CPVC,N/A,"Jet Fuel (JP3, JP4, JP5)"
16,EPDM,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
17,Epoxy,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
18,Fluorocarbon (FKM),A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
19,Hastelloy-C®,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
20,Hypalon®,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
21,Hytrel®,N/A,"Jet Fuel (JP3, JP4, JP5)"
22,Kalrez,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
23,Kel-F®,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
24,LDPE,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
25,Natural rubber,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
26,Neoprene,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
27,NORYL®,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
28,Nylon,C - Fair,"Jet Fuel (JP3, JP4, JP5)"
29,Polycarbonate,A1 - Excellent,"Jet Fuel (JP3, JP4, JP5)"
30,Polyetherether Ketone (PEEK),A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
31,Polypropylene,A1 - Excellent,"Jet Fuel (JP3, JP4, JP5)"
32,Polyurethane,C - Fair,"Jet Fuel (JP3, JP4, JP5)"
33,PPS (Ryton®),A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
34,PTFE,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
35,PVC,C - Fair,"Jet Fuel (JP3, JP4, JP5)"
36,PVDF (Kynar®),B - Good,"Jet Fuel (JP3, JP4, JP5)"
37,Silicone,D - Poor,"Jet Fuel (JP3, JP4, JP5)"
38,stainless steel - 304,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
39,stainless steel - 316,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
40,Titanium,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
41,Tygon®,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
42,Viton®,A - Excellent,"Jet Fuel (JP3, JP4, JP5)"
