,material,compatibility,chemical
0,,,Kerosene
1,ABS plastic,D - Poor,Kerosene
2,Acetal (Delrin®),A2 - Excellent,Kerosene
3,Aluminum,A - Excellent,Kerosene
4,Brass,A - Excellent,Kerosene
5,Bronze,A - Excellent,Kerosene
6,Buna N (Nitrile),A - Excellent,Kerosene
7,Carbon graphite,A - Excellent,Kerosene
8,Carbon Steel,A - Excellent,Kerosene
9,Carpenter 20,A - Excellent,Kerosene
10,Cast iron,A - Excellent,Kerosene
11,Ceramic Al203,A - Excellent,Kerosene
12,Ceramic magnet,B - Good,Kerosene
13,ChemRaz (FFKM),A - Excellent,Kerosene
14,Copper,B - Good,Kerosene
15,CPVC,N/A,Kerosene
16,EPDM,D - Poor,Kerosene
17,Epoxy,A - Excellent,Kerosene
18,Fluorocarbon (FKM),A - Excellent,Kerosene
19,Hastelloy-C®,B - Good,Kerosene
20,Hypalon®,D - Poor,Kerosene
21,Hytrel®,C - Fair,Kerosene
22,Kalrez,A - Excellent,Kerosene
23,Kel-F®,A - Excellent,Kerosene
24,LDPE,C1 - Fair,Kerosene
25,Natural rubber,D - Poor,Kerosene
26,Neoprene,A - Excellent,Kerosene
27,NORYL®,D - Poor,Kerosene
28,Nylon,A - Excellent,Kerosene
29,Polycarbonate,D - Poor,Kerosene
30,Polyetherether Ketone (PEEK),A - Excellent,Kerosene
31,Polypropylene,B - Good,Kerosene
32,Polyurethane,B - Good,Kerosene
33,PPS (Ryton®),A - Excellent,Kerosene
34,PTFE,A - Excellent,Kerosene
35,PVC,A2 - Excellent,Kerosene
36,PVDF (Kynar®),A - Excellent,Kerosene
37,Silicone,D - Poor,Kerosene
38,stainless steel - 304,A - Excellent,Kerosene
39,stainless steel - 316,A - Excellent,Kerosene
40,Titanium,A - Excellent,Kerosene
41,Tygon®,D - Poor,Kerosene
42,Viton®,A - Excellent,Kerosene
