,material,compatibility,chemical
0,,,Lacquer Thinners
1,ABS plastic,A - Excellent,Lacquer Thinners
2,Acetal (Delrin®),D - Poor,Lacquer Thinners
3,Aluminum,A - Excellent,Lacquer Thinners
4,Brass,A - Excellent,Lacquer Thinners
5,Bronze,A - Excellent,Lacquer Thinners
6,Buna N (Nitrile),D - Poor,Lacquer Thinners
7,Carbon graphite,A - Excellent,Lacquer Thinners
8,Carbon Steel,A - Excellent,Lacquer Thinners
9,Carpenter 20,A - Excellent,Lacquer Thinners
10,Cast iron,C - Fair,Lacquer Thinners
11,Ceramic Al203,N/A,Lacquer Thinners
12,Ceramic magnet,N/A,Lacquer Thinners
13,ChemRaz (FFKM),A - Excellent,Lacquer Thinners
14,Copper,A - Excellent,Lacquer Thinners
15,CPVC,N/A,Lacquer Thinners
16,EPDM,D - Poor,Lacquer Thinners
17,Epoxy,A - Excellent,Lacquer Thinners
18,Fluorocarbon (FKM),D - Poor,Lacquer Thinners
19,Hastelloy-C®,A - Excellent,Lacquer Thinners
20,Hypalon®,D - Poor,Lacquer Thinners
21,Hytrel®,D - Poor,Lacquer Thinners
22,Kalrez,A - Excellent,Lacquer Thinners
23,Kel-F®,N/A,Lacquer Thinners
24,LDPE,A - Excellent,Lacquer Thinners
25,Natural rubber,D - Poor,Lacquer Thinners
26,Neoprene,D - Poor,Lacquer Thinners
27,NORYL®,D - Poor,Lacquer Thinners
28,Nylon,A1 - Excellent,Lacquer Thinners
29,Polycarbonate,B - Good,Lacquer Thinners
30,Polyetherether Ketone (PEEK),N/A,Lacquer Thinners
31,Polypropylene,D - Poor,Lacquer Thinners
32,Polyurethane,D - Poor,Lacquer Thinners
33,PPS (Ryton®),N/A,Lacquer Thinners
34,PTFE,A - Excellent,Lacquer Thinners
35,PVC,D - Poor,Lacquer Thinners
36,PVDF (Kynar®),N/A,Lacquer Thinners
37,Silicone,D - Poor,Lacquer Thinners
38,stainless steel - 304,A1 - Excellent,Lacquer Thinners
39,stainless steel - 316,A - Excellent,Lacquer Thinners
40,Titanium,C - Fair,Lacquer Thinners
41,Tygon®,D - Poor,Lacquer Thinners
42,Viton®,D - Poor,Lacquer Thinners
