,material,compatibility,chemical
0,,,Lacquers
1,ABS plastic,A - Excellent,Lacquers
2,Acetal (Delrin®),D - Poor,Lacquers
3,Aluminum,A - Excellent,Lacquers
4,Brass,N/A,Lacquers
5,Bronze,A - Excellent,Lacquers
6,Buna N (Nitrile),D - Poor,Lacquers
7,Carbon graphite,A - Excellent,Lacquers
8,Carbon Steel,A - Excellent,Lacquers
9,Carpenter 20,A - Excellent,Lacquers
10,Cast iron,C - Fair,Lacquers
11,Ceramic Al203,N/A,Lacquers
12,Ceramic magnet,N/A,Lacquers
13,ChemRaz (FFKM),A - Excellent,Lacquers
14,Copper,A - Excellent,Lacquers
15,CPVC,N/A,Lacquers
16,EPDM,D - Poor,Lacquers
17,Epoxy,A - Excellent,Lacquers
18,Fluorocarbon (FKM),D - Poor,Lacquers
19,Hastelloy-C®,A - Excellent,Lacquers
20,Hypalon®,D - Poor,Lacquers
21,Hytrel®,N/A,Lacquers
22,Kalrez,A - Excellent,Lacquers
23,Kel-F®,N/A,Lacquers
24,LDPE,A - Excellent,Lacquers
25,Natural rubber,D - Poor,Lacquers
26,Neoprene,D - Poor,Lacquers
27,NORYL®,D - Poor,Lacquers
28,Nylon,A1 - Excellent,Lacquers
29,Polycarbonate,D - Poor,Lacquers
30,Polyetherether Ketone (PEEK),N/A,Lacquers
31,Polypropylene,D - Poor,Lacquers
32,Polyurethane,D - Poor,Lacquers
33,PPS (Ryton®),N/A,Lacquers
34,PTFE,A - Excellent,Lacquers
35,PVC,D - Poor,Lacquers
36,PVDF (Kynar®),D - Poor,Lacquers
37,Silicone,D - Poor,Lacquers
38,stainless steel - 304,A1 - Excellent,Lacquers
39,stainless steel - 316,A - Excellent,Lacquers
40,Titanium,N/A,Lacquers
41,Tygon®,A - Excellent,Lacquers
42,Viton®,D - Poor,Lacquers
