,material,compatibility,chemical
0,,,Lard
1,ABS plastic,N/A,Lard
2,Acetal (Delrin®),A - Excellent,Lard
3,Aluminum,A - Excellent,Lard
4,Brass,N/A,Lard
5,Bronze,A - Excellent,Lard
6,Buna N (Nitrile),A - Excellent,Lard
7,Carbon graphite,A - Excellent,Lard
8,Carbon Steel,A - Excellent,Lard
9,Carpenter 20,A - Excellent,Lard
10,Cast iron,A - Excellent,Lard
11,Ceramic Al203,N/A,Lard
12,Ceramic magnet,N/A,Lard
13,ChemRaz (FFKM),A - Excellent,Lard
14,Copper,N/A,Lard
15,CPVC,N/A,Lard
16,EPDM,D - Poor,Lard
17,Epoxy,B - Good,Lard
18,Fluorocarbon (FKM),A - Excellent,Lard
19,Hastelloy-C®,A - Excellent,Lard
20,Hypalon®,B - Good,Lard
21,Hytrel®,N/A,Lard
22,Kalrez,A - Excellent,Lard
23,Kel-F®,N/A,Lard
24,LDPE,A - Excellent,Lard
25,Natural rubber,D1 - Poor,Lard
26,Neoprene,D - Poor,Lard
27,NORYL®,A - Excellent,Lard
28,Nylon,A1 - Excellent,Lard
29,Polycarbonate,A1 - Excellent,Lard
30,Polyetherether Ketone (PEEK),A - Excellent,Lard
31,Polypropylene,B1 - Good,Lard
32,Polyurethane,C - Fair,Lard
33,PPS (Ryton®),N/A,Lard
34,PTFE,A - Excellent,Lard
35,PVC,A1 - Excellent,Lard
36,PVDF (Kynar®),A - Excellent,Lard
37,Silicone,B - Good,Lard
38,stainless steel - 304,A - Excellent,Lard
39,stainless steel - 316,A - Excellent,Lard
40,Titanium,A - Excellent,Lard
41,Tygon®,A - Excellent,Lard
42,Viton®,A - Excellent,Lard
