,material,compatibility,chemical
0,,,Lead Acetate
1,ABS plastic,B - Good,Lead Acetate
2,Acetal (Delrin®),B - Good,Lead Acetate
3,Aluminum,D - Poor,Lead Acetate
4,Brass,N/A,Lead Acetate
5,Bronze,B1 - Good,Lead Acetate
6,Buna N (Nitrile),B - Good,Lead Acetate
7,Carbon graphite,A - Excellent,Lead Acetate
8,Carbon Steel,D - Poor,Lead Acetate
9,Carpenter 20,A - Excellent,Lead Acetate
10,Cast iron,A - Excellent,Lead Acetate
11,Ceramic Al203,A - Excellent,Lead Acetate
12,Ceramic magnet,N/A,Lead Acetate
13,ChemRaz (FFKM),A - Excellent,Lead Acetate
14,Copper,N/A,Lead Acetate
15,CPVC,A2 - Excellent,Lead Acetate
16,EPDM,A - Excellent,Lead Acetate
17,Epoxy,A - Excellent,Lead Acetate
18,Fluorocarbon (FKM),A - Excellent,Lead Acetate
19,Hastelloy-C®,B1 - Good,Lead Acetate
20,Hypalon®,D - Poor,Lead Acetate
21,Hytrel®,N/A,Lead Acetate
22,Kalrez,A - Excellent,Lead Acetate
23,Kel-F®,A - Excellent,Lead Acetate
24,LDPE,A2 - Excellent,Lead Acetate
25,Natural rubber,A - Excellent,Lead Acetate
26,Neoprene,A - Excellent,Lead Acetate
27,NORYL®,A1 - Excellent,Lead Acetate
28,Nylon,A - Excellent,Lead Acetate
29,Polycarbonate,N/A,Lead Acetate
30,Polyetherether Ketone (PEEK),A - Excellent,Lead Acetate
31,Polypropylene,A1 - Excellent,Lead Acetate
32,Polyurethane,D - Poor,Lead Acetate
33,PPS (Ryton®),A - Excellent,Lead Acetate
34,PTFE,A - Excellent,Lead Acetate
35,PVC,B - Good,Lead Acetate
36,PVDF (Kynar®),A - Excellent,Lead Acetate
37,Silicone,A - Excellent,Lead Acetate
38,stainless steel - 304,B - Good,Lead Acetate
39,stainless steel - 316,B1 - Good,Lead Acetate
40,Titanium,A1 - Excellent,Lead Acetate
41,Tygon®,B - Good,Lead Acetate
42,Viton®,D - Poor,Lead Acetate
