,material,compatibility,chemical
0,,,Lead Nitrate
1,ABS plastic,B - Good,Lead Nitrate
2,Acetal (Delrin®),N/A,Lead Nitrate
3,Aluminum,D - Poor,Lead Nitrate
4,Brass,N/A,Lead Nitrate
5,Bronze,B2 - Good,Lead Nitrate
6,Buna N (Nitrile),A2 - Excellent,Lead Nitrate
7,Carbon graphite,A1 - Excellent,Lead Nitrate
8,Carbon Steel,D - Poor,Lead Nitrate
9,Carpenter 20,N/A,Lead Nitrate
10,Cast iron,N/A,Lead Nitrate
11,Ceramic Al203,N/A,Lead Nitrate
12,Ceramic magnet,N/A,Lead Nitrate
13,ChemRaz (FFKM),A - Excellent,Lead Nitrate
14,Copper,N/A,Lead Nitrate
15,CPVC,A2 - Excellent,Lead Nitrate
16,EPDM,A2 - Excellent,Lead Nitrate
17,Epoxy,N/A,Lead Nitrate
18,Fluorocarbon (FKM),A - Excellent,Lead Nitrate
19,Hastelloy-C®,B2 - Good,Lead Nitrate
20,Hypalon®,N/A,Lead Nitrate
21,Hytrel®,N/A,Lead Nitrate
22,Kalrez,A - Excellent,Lead Nitrate
23,Kel-F®,N/A,Lead Nitrate
24,LDPE,A2 - Excellent,Lead Nitrate
25,Natural rubber,A1 - Excellent,Lead Nitrate
26,Neoprene,A1 - Excellent,Lead Nitrate
27,NORYL®,A1 - Excellent,Lead Nitrate
28,Nylon,N/A,Lead Nitrate
29,Polycarbonate,N/A,Lead Nitrate
30,Polyetherether Ketone (PEEK),N/A,Lead Nitrate
31,Polypropylene,A2 - Excellent,Lead Nitrate
32,Polyurethane,D - Poor,Lead Nitrate
33,PPS (Ryton®),A - Excellent,Lead Nitrate
34,PTFE,A1 - Excellent,Lead Nitrate
35,PVC,A2 - Excellent,Lead Nitrate
36,PVDF (Kynar®),A2 - Excellent,Lead Nitrate
37,Silicone,B1 - Good,Lead Nitrate
38,stainless steel - 304,B1 - Good,Lead Nitrate
39,stainless steel - 316,B1 - Good,Lead Nitrate
40,Titanium,N/A,Lead Nitrate
41,Tygon®,A2 - Excellent,Lead Nitrate
42,Viton®,A2 - Excellent,Lead Nitrate
