,material,compatibility,chemical
0,,,Ligroin
1,ABS plastic,N/A,Ligroin
2,Acetal (Delrin®),B - Good,Ligroin
3,Aluminum,D - Poor,Ligroin
4,Brass,N/A,Ligroin
5,Bronze,N/A,Ligroin
6,Buna N (Nitrile),A - Excellent,Ligroin
7,Carbon graphite,N/A,Ligroin
8,Carbon Steel,N/A,Ligroin
9,Carpenter 20,A - Excellent,Ligroin
10,Cast iron,N/A,Ligroin
11,Ceramic Al203,N/A,Ligroin
12,Ceramic magnet,N/A,Ligroin
13,ChemRaz (FFKM),A - Excellent,Ligroin
14,Copper,N/A,Ligroin
15,CPVC,N/A,Ligroin
16,EPDM,D - Poor,Ligroin
17,Epoxy,A - Excellent,Ligroin
18,Fluorocarbon (FKM),A - Excellent,Ligroin
19,Hastelloy-C®,N/A,Ligroin
20,Hypalon®,C - Fair,Ligroin
21,Hytrel®,N/A,Ligroin
22,Kalrez,A - Excellent,Ligroin
23,Kel-F®,N/A,Ligroin
24,LDPE,A - Excellent,Ligroin
25,Natural rubber,D - Poor,Ligroin
26,Neoprene,B - Good,Ligroin
27,NORYL®,N/A,Ligroin
28,Nylon,D - Poor,Ligroin
29,Polycarbonate,N/A,Ligroin
30,Polyetherether Ketone (PEEK),A - Excellent,Ligroin
31,Polypropylene,A2 - Excellent,Ligroin
32,Polyurethane,C - Fair,Ligroin
33,PPS (Ryton®),N/A,Ligroin
34,PTFE,A - Excellent,Ligroin
35,PVC,N/A,Ligroin
36,PVDF (Kynar®),A - Excellent,Ligroin
37,Silicone,D - Poor,Ligroin
38,stainless steel - 304,N/A,Ligroin
39,stainless steel - 316,A - Excellent,Ligroin
40,Titanium,N/A,Ligroin
41,Tygon®,A - Excellent,Ligroin
42,Viton®,A - Excellent,Ligroin
