,material,compatibility,chemical
0,,,Lime
1,ABS plastic,N/A,Lime
2,Acetal (Delrin®),B - Good,Lime
3,Aluminum,A - Excellent,Lime
4,Brass,N/A,Lime
5,Bronze,N/A,Lime
6,Buna N (Nitrile),A - Excellent,Lime
7,Carbon graphite,A - Excellent,Lime
8,Carbon Steel,N/A,Lime
9,Carpenter 20,A - Excellent,Lime
10,Cast iron,A - Excellent,Lime
11,Ceramic Al203,N/A,Lime
12,Ceramic magnet,N/A,Lime
13,ChemRaz (FFKM),N/A,Lime
14,Copper,N/A,Lime
15,CPVC,N/A,Lime
16,EPDM,D - Poor,Lime
17,Epoxy,A - Excellent,Lime
18,Fluorocarbon (FKM),A - Excellent,Lime
19,Hastelloy-C®,N/A,Lime
20,Hypalon®,N/A,Lime
21,Hytrel®,N/A,Lime
22,Kalrez,N/A,Lime
23,Kel-F®,N/A,Lime
24,LDPE,A - Excellent,Lime
25,Natural rubber,N/A,Lime
26,Neoprene,A - Excellent,Lime
27,NORYL®,N/A,Lime
28,Nylon,A1 - Excellent,Lime
29,Polycarbonate,N/A,Lime
30,Polyetherether Ketone (PEEK),N/A,Lime
31,Polypropylene,N/A,Lime
32,Polyurethane,B - Good,Lime
33,PPS (Ryton®),N/A,Lime
34,PTFE,A1 - Excellent,Lime
35,PVC,B - Good,Lime
36,PVDF (Kynar®),A - Excellent,Lime
37,Silicone,N/A,Lime
38,stainless steel - 304,A - Excellent,Lime
39,stainless steel - 316,A - Excellent,Lime
40,Titanium,A - Excellent,Lime
41,Tygon®,A - Excellent,Lime
42,Viton®,A - Excellent,Lime
