,material,compatibility,chemical
0,,,Linoleic Acid
1,ABS plastic,A - Excellent,Linoleic Acid
2,Acetal (Delrin®),B - Good,Linoleic Acid
3,Aluminum,A2 - Excellent,Linoleic Acid
4,Brass,N/A,Linoleic Acid
5,Bronze,N/A,Linoleic Acid
6,Buna N (Nitrile),B1 - Good,Linoleic Acid
7,Carbon graphite,A2 - Excellent,Linoleic Acid
8,Carbon Steel,D - Poor,Linoleic Acid
9,Carpenter 20,N/A,Linoleic Acid
10,Cast iron,N/A,Linoleic Acid
11,Ceramic Al203,N/A,Linoleic Acid
12,Ceramic magnet,N/A,Linoleic Acid
13,ChemRaz (FFKM),A - Excellent,Linoleic Acid
14,Copper,D - Poor,Linoleic Acid
15,CPVC,A2 - Excellent,Linoleic Acid
16,EPDM,D - Poor,Linoleic Acid
17,Epoxy,N/A,Linoleic Acid
18,Fluorocarbon (FKM),B - Good,Linoleic Acid
19,Hastelloy-C®,N/A,Linoleic Acid
20,Hypalon®,D - Poor,Linoleic Acid
21,Hytrel®,N/A,Linoleic Acid
22,Kalrez,A - Excellent,Linoleic Acid
23,Kel-F®,N/A,Linoleic Acid
24,LDPE,A - Excellent,Linoleic Acid
25,Natural rubber,D - Poor,Linoleic Acid
26,Neoprene,N/A,Linoleic Acid
27,NORYL®,N/A,Linoleic Acid
28,Nylon,N/A,Linoleic Acid
29,Polycarbonate,N/A,Linoleic Acid
30,Polyetherether Ketone (PEEK),N/A,Linoleic Acid
31,Polypropylene,B1 - Good,Linoleic Acid
32,Polyurethane,N/A,Linoleic Acid
33,PPS (Ryton®),N/A,Linoleic Acid
34,PTFE,A - Excellent,Linoleic Acid
35,PVC,A2 - Excellent,Linoleic Acid
36,PVDF (Kynar®),A2 - Excellent,Linoleic Acid
37,Silicone,B1 - Good,Linoleic Acid
38,stainless steel - 304,B - Good,Linoleic Acid
39,stainless steel - 316,A - Excellent,Linoleic Acid
40,Titanium,N/A,Linoleic Acid
41,Tygon®,A2 - Excellent,Linoleic Acid
42,Viton®,B1 - Good,Linoleic Acid
