,material,compatibility,chemical
0,,,Lithium Chloride
1,ABS plastic,N/A,Lithium Chloride
2,Acetal (Delrin®),A - Excellent,Lithium Chloride
3,Aluminum,D - Poor,Lithium Chloride
4,Brass,N/A,Lithium Chloride
5,Bronze,A2 - Excellent,Lithium Chloride
6,Buna N (Nitrile),A2 - Excellent,Lithium Chloride
7,Carbon graphite,A2 - Excellent,Lithium Chloride
8,Carbon Steel,D - Poor,Lithium Chloride
9,Carpenter 20,A - Excellent,Lithium Chloride
10,Cast iron,A - Excellent,Lithium Chloride
11,Ceramic Al203,N/A,Lithium Chloride
12,Ceramic magnet,N/A,Lithium Chloride
13,ChemRaz (FFKM),A - Excellent,Lithium Chloride
14,Copper,N/A,Lithium Chloride
15,CPVC,A2 - Excellent,Lithium Chloride
16,EPDM,A1 - Excellent,Lithium Chloride
17,Epoxy,N/A,Lithium Chloride
18,Fluorocarbon (FKM),A - Excellent,Lithium Chloride
19,Hastelloy-C®,N/A,Lithium Chloride
20,Hypalon®,N/A,Lithium Chloride
21,Hytrel®,N/A,Lithium Chloride
22,Kalrez,A - Excellent,Lithium Chloride
23,Kel-F®,N/A,Lithium Chloride
24,LDPE,A2 - Excellent,Lithium Chloride
25,Natural rubber,B1 - Good,Lithium Chloride
26,Neoprene,A1 - Excellent,Lithium Chloride
27,NORYL®,N/A,Lithium Chloride
28,Nylon,N/A,Lithium Chloride
29,Polycarbonate,B1 - Good,Lithium Chloride
30,Polyetherether Ketone (PEEK),N/A,Lithium Chloride
31,Polypropylene,A2 - Excellent,Lithium Chloride
32,Polyurethane,D - Poor,Lithium Chloride
33,PPS (Ryton®),N/A,Lithium Chloride
34,PTFE,A - Excellent,Lithium Chloride
35,PVC,D - Poor,Lithium Chloride
36,PVDF (Kynar®),A2 - Excellent,Lithium Chloride
37,Silicone,A1 - Excellent,Lithium Chloride
38,stainless steel - 304,A1 - Excellent,Lithium Chloride
39,stainless steel - 316,A2 - Excellent,Lithium Chloride
40,Titanium,N/A,Lithium Chloride
41,Tygon®,A2 - Excellent,Lithium Chloride
42,Viton®,A1 - Excellent,Lithium Chloride
